old	young	percent
D10.3	211	86	71
D10.7	214	68	75.9
D10.8	218	70	75.7
D11.1	208	76	73.2
D1.2	202	71	74
D1.35	213	72	74.7
D2.1.6	215	74	74.4
D2.2	211	77	73.3
D3D.2	211	72	74.6
D3K.5	196	83	70.3
D3K.56	200	89	69.2
D4.12	212	70	75.2
D4.185	208	80	72.2
D5.2	204	84	70.8
D5.31	215	78	73.4
D5.4	204	72	73.9
D5.53	213	60	78
D5.6	208	84	71.2
D5.8	193	81	70.4
D5.ref	215	69	75.7
D6.5	203	83	71
D6.7	202	74	73.2
D7.157	214	65	76.7
D7.4	228	63	78.4
D8.8	198	92	68.3
D8.9	207	73	73.9
D9.4	210	73	74.2
