""	"D10-3_"	"D10-7_"	"D10-8_"	"D10-8o"	"D11-1_"	"D1-2__"	"D1-35_"	"D2-1-6"	"D2-2__"	"D3-D-2"	"D3-K-5"	"D3K-56"	"D4-12_"	"D4-185"	"D5_2__"	"D5_31_"	"D5_4__"	"D5_53_"	"D5-6__"	"D5-8__"	"D5_ref"	"D6-5__"	"D6-7__"	"D7-157"	"D7-4__"	"D8-8__"	"D8-9__"	"D9-4__"
"CL0001"	"3"	"3"	"4*"	"4*"	"4*"	"3"	"3"	"4*"	"3"	"4*"	"4*"	"3"	"4*"	"4*"	"3"	"4*"	"3"	"4*"	"4*"	"3"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"
"CL0002"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"3"	"3"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"
"CL0003"	"3"	"3"	"4*"	"3"	"4*"	"3"	"3"	"3"	"3"	"3"	"3"	"4*"	"4*"	"3"	"3"	"4*"	"4*"	"4*"	"3"	"4*"	"3"	"3"	"5"	"3"	"3"	"4*"	"3"	"3"
"CL0004"	"3"	"3"	"3"	"3"	"5"	"3"	"3"	"3"	"3"	"5"	"3"	"3"	"3"	"3"	"3"	"3"	"4*"	"3"	"3"	"3"	"4*"	"5"	"4*"	"5"	"3"	"1"	"3"	"1"
"CL0005"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"5"	"3"	"3"	"3"	"3"	"3"	"4*"	"3"	"3"	"4*"	"3"	"3"	"4*"	"3"	"3"	"5"	"3"	"3"	"3"	"3"	"3"
"CL0006"	"3"	"3"	"5"	"3"	"5"	"5"	"5"	"5"	"5"	"3"	"3"	"3"	"4*"	"3"	"3"	"3"	"3"	"3"	"3"	"4*"	"3"	"5"	"5"	"3"	"3"	"3"	"3"	"3"
"CL0007"	"3"	"3"	"3"	"3"	"3"	"3"	"5"	"3"	"3"	"4*"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"4*"
"CL0008"	"4*"	"4*"	"4*"	"4*"	"4*"	"3"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"3"	"4*"	"1"	"1"	"1"	"1"	"1"	"4"	"1"	"4*"	"4*"	"4*"	"4*"	"4*"	"3"	"4*"
"CL0009"	"3"	"4*"	"3"	"4*"	"3"	"4*"	"4*"	"4*"	"4*"	"3"	"3"	"4*"	"3"	"4*"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"4*"	"3"	"4*"	"4*"	"4*"	"3"
"CL0010"	"4*"	"4*"	"4*"	"4*"	"4*"	"3"	"3"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"3"	"4*"	"4*"	"4*"	"4*"	"4*"	"3"	"4*"
"CL0011"	"3"	"3"	"3"	"3"	"4*"	"3"	"4*"	"3"	"4*"	"4*"	"4*"	"4*"	"4*"	"3"	"4*"	"4*"	"4*"	"4*"	"3"	"4*"	"4*"	"3"	"4*"	"3"	"3"	"4*"	"3"	"3"
"CL0012"	"3"	"4*"	"4*"	"3"	"4*"	"3"	"4*"	"4*"	"3"	"3"	"4*"	"3"	"4*"	"4*"	"4*"	"4*"	"3"	"3"	"3"	"3"	"3"	"3"	"4*"	"4*"	"4*"	"3"	"3"	"4*"
"CL0013"	"4*"	"4*"	"3"	"3"	"3"	"3"	"5"	"4*"	"3"	"4*"	"3"	"4*"	"3"	"3"	"4*"	"3"	"3"	"3"	"3"	"3"	"4*"	"3"	"3"	"3"	"3"	"4*"	"3"	"3"
"CL0014"	"4*"	"3"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"3"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"
"CL0015"	"4*"	"4*"	"4*"	"4*"	"3"	"4*"	"4*"	"4*"	"4*"	"4*"	"3"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"3"	"4*"	"3"	"4*"	"3"	"4*"	"4*"	"4*"	"3"	"3"
"CL0016"	NA	"3"	"4*"	"1"	"5"	NA	NA	"5"	"4"	"4"	NA	"5"	"3"	"1"	"3"	NA	"3"	NA	"5"	"5"	"3"	"1"	"3"	"1"	NA	"1"	NA	"1"
"CL0017"	"5"	"5"	"3"	"5"	"3"	"5"	"5"	"5"	"5"	"5"	"5"	"3"	"3"	"5"	"3"	"3"	"3"	"3"	"5"	"3"	"5"	"5"	"5"	"3"	"5"	"5"	"5"	"5"
"CL0018"	"3"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"3"	"4*"	"4*"	"4*"	"3"	"4*"	"4*"	"4*"	"3"	"3"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"
"CL0019"	"3"	"4*"	"4*"	"5"	"3"	"1"	"3"	"3"	"4*"	"3"	"3"	"4*"	"3"	"3"	"4*"	"4*"	"3"	"3"	"3"	"3"	"3"	"3"	"4*"	"3"	"3"	"3"	"3"	"3"
"CL0020"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"5"	NA	NA	"3"	"3"	"5"	"3"	"3"	"3"	"4*"	"5"	"3"	"3"
"CL0021"	"3"	"5"	"5"	"3"	"3"	"3"	"3"	"3"	"5"	"3"	"3"	"3"	"4*"	"3"	"3"	"3"	"5"	"5"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"
"CL0022"	"3"	"4*"	"3"	"4*"	"3"	"3"	"3"	"3"	"5"	"3"	"3"	"3"	"3"	"5"	"3"	"3"	"3"	"4*"	"3"	"4*"	"4*"	"4*"	"4*"	"3"	"3"	"3"	"3"	"4*"
"CL0023"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"5"	"5"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"5"	"5"	"5"
"CL0024"	"3"	"4*"	"3"	"3"	"3"	"3"	"5"	"3"	"3"	"3"	"3"	"4*"	"3"	"3"	"3"	"3"	"3"	"3"	"4*"	"4*"	"4*"	"3"	"4*"	"4*"	"4*"	"3"	"3"	"4*"
"CL0025"	"3"	"3"	"5"	"5"	"3"	"5"	"3"	"5"	"3"	"3"	"3"	"5"	"4*"	"3"	"5"	"3"	"5"	"3"	"3"	"3"	"4*"	"5"	"3"	"3"	"4*"	"3"	"3"	"3"
"CL0026"	"3"	"3"	"3"	"3"	"3"	"5"	"3"	"3"	"1"	"5"	"3"	"3"	"3"	"1"	"3"	"3"	"1"	"5"	"5"	"5"	"3"	"4*"	"3"	"1"	"3"	"3"	"3"	"3"
"CL0027"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"5"	"5"	"5"	"5"	"5"	"3"	"3"	"5"	"5"	"5"	"3"	"3"	"5"	"5"	"5"	"5"	"3"	"5"	"3"
"CL0028"	"3"	"3"	"4*"	"3"	"3"	"5"	"3"	"3"	"3"	"3"	"5"	"3"	"3"	"3"	"3"	"3"	"4*"	"3"	"3"	"3"	"3"	"4*"	"3"	"4*"	"3"	"3"	"3"	"4*"
"CL0029"	"3"	"3"	"3"	"3"	"4*"	"3"	"3"	"3"	"3"	"4*"	"4*"	"3"	"3"	"3"	"3"	"3"	"5"	"3"	"3"	"3"	"4*"	"3"	"3"	"5"	"3"	"3"	"3"	"3"
"CL0030"	"3"	"4*"	"3"	"4*"	"4*"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"4*"	"3"	"3"	"3"	"3"	"3"	"3"	"4*"	"3"	"3"	"3"	"3"	"3"	"3"	"3"
"CL0031"	"5"	"3"	"3"	"4*"	"3"	"3"	"3"	"5"	"5"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"4*"	"4*"	"3"	"3"	"3"	"3"	"4*"	"3"	"3"	"3"	"3"	"4*"
"CL0032"	"4*"	"3"	"3"	"3"	"4*"	"3"	"3"	"3"	"4*"	"3"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"3"	"3"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"3"	"3"	"4*"	"4*"
"CL0033"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CL0034"	"3"	"3"	"3"	"5"	"3"	"5"	"5"	"3"	"3"	"3"	"5"	"3"	"4*"	"1"	"3"	"3"	"1"	"3"	"5"	"5"	"3"	"5"	"5"	"1"	"3"	"1"	"5"	"1"
"CL0035"	"3"	"5"	"5"	"3"	"5"	"3"	"3"	"5"	"5"	"3"	"3"	"3"	"3"	"3"	"3"	"5"	"5"	"3"	"5"	"5"	"3"	"5"	"5"	"3"	"3"	"5"	"3"	"3"
"CL0036"	"5"	"5"	"5"	"5"	"5"	"5"	"3"	"3"	"5"	"5"	"5"	"3"	"5"	"5"	"3"	"5"	"5"	"3"	"5"	"3"	"5"	"5"	"5"	"5"	"4*"	"5"	"5"	"5"
"CL0037"	"3"	"3"	"4*"	"3"	"3"	"3"	"3"	"3"	"3"	"5"	"3"	"5"	"3"	"4*"	"3"	"5"	"3"	"3"	"4*"	"3"	"3"	"3"	"4*"	"3"	"5"	"3"	"3"	"3"
"CL0038"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CL0039"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CL0040"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"5"	"1"	"3"	NA	NA	NA	NA	NA	"2"	NA	NA	"4"	NA	NA
"CL0041"	"1"	"1"	"1"	"1"	"4"	"3"	"3"	"4"	"1"	"4"	"4"	"4"	"4"	"1"	"4"	"1"	"1"	"4"	"1"	"1"	"1"	"4"	"4"	"1"	"5"	"1"	"1"	"1"
"CL0042"	"3"	"5"	"5"	"5"	"5"	"1"	"3"	"5"	"5"	"3"	"5"	"3"	"5"	"5"	"5"	"3"	"3"	"3"	"5"	"3"	"5"	"3"	"3"	"5"	"5"	"5"	"5"	"5"
"CL0043"	"5"	"5"	"5"	"5"	"5"	"5"	"5"	"5"	"5"	"5"	"5"	"5"	"5"	"5"	"5"	"3"	"5"	"5"	"5"	"3"	"5"	"5"	"5"	"3"	"5"	"5"	"5"	"3"
"CL0044"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CL0045"	"3"	"3"	"3"	"3"	"5"	"3"	"3"	"5"	"3"	"3"	"3"	"4*"	"5"	"3"	"3"	"3"	"5"	"5"	"5"	"5"	"3"	"5"	"5"	"5"	"3"	"3"	"3"	"3"
"CL0046"	"4*"	"3"	"4*"	"4*"	"4*"	"3"	"3"	"3"	"4*"	"3"	"3"	"3"	"3"	"4*"	"4*"	"3"	"4*"	"3"	"4*"	"3"	"3"	"3"	"4*"	"4*"	"4*"	"4*"	"3"	"3"
"CL0047"	"3"	"3"	"5"	"5"	"5"	"3"	"5"	"5"	"5"	"5"	"3"	"5"	"5"	"3"	"3"	"3"	"5"	"5"	"5"	"5"	"3"	"5"	"5"	"5"	"5"	"5"	"5"	"3"
"CL0048"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"3"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"	"4*"
