Cluster	a	b	c	Optimum	Category
CL0001	70490.100000	-157772.575531	33625.539875	90	4*
CL0002	39868.500000	-107686.853079	39830.516481	90	4*
CL0003	137121.900000	-77974.723926	-33065.114294	91	5
CL0004	177454.300000	-141948.187639	-48572.240473	91	5
CL0005	904899.047619	-8394.612554	NA	90	3
CL0006	128038.400000	-62831.720225	-41865.429898	93	5
CL0007	743631.785714	-7429.311688	NA	90	3
CL0008	60241.600000	-115498.105457	35759.500658	90	4*
CL0009	31115.300000	-57367.726008	7583.261621	90	4*
CL0010	294788.300000	-644010.926831	142530.058157	90	4*
CL0011	263056.200000	-601674.391685	114785.894004	90	4*
CL0012	3174626.047619	-31882.476190	NA	90	3
CL0013	1037234.309524	-10397.913420	NA	90	3
CL0014	42889.000000	-117714.325796	38556.942839	90	4*
CL0015	36260.300000	-95610.255091	32302.981859	90	4*
CL0016	4348764.833333	-42149.878788	NA	90	3
CL0017	9128248.619048	-90321.963203	NA	90	3
CL0018	27623.800000	-68109.581644	15976.049714	90	4*
CL0019	67369.800000	-118628.532031	12618.658551	90	4*
CL0020	173076.800000	-101672.574912	-45915.224511	92	5
CL0021	738892.095238	-7323.770563	NA	90	3
CL0022	29937.600000	-59454.677057	8784.507558	90	4*
CL0023	1395910.404762	-14010.093074	NA	90	3
CL0024	21802.100000	-42628.655029	7558.769434	90	4*
CL0025	372543.547619	-3617.976190	NA	90	3
CL0026	244427.404762	-2382.683983	NA	90	3
CL0027	74589.200000	-96214.822573	-17026.349130	90	5
CL0028	472206.880952	-4710.445887	NA	90	3
CL0029	445670.547619	-4455.885281	NA	90	3
CL0030	32690.800000	-64962.218775	7305.735346	90	4*
CL0031	873423.166667	-8493.348485	NA	90	3
CL0032	187515.600000	-427306.223449	80300.197763	90	4*
CL0033	716842.452381	-5661.387446	NA	90	3
CL0034	43704.200000	-31595.262085	-12598.766801	91	5
CL0035	52020.900000	-51436.548041	-20522.174828	91	5
CL0036	97365.900000	-109992.332271	-24440.909653	90	5
CL0037	455298.214286	-4554.279221	NA	90	3
CL0038	711449.357143	-5868.480519	NA	90	3
CL0039	47227.100000	-10781.658011	-21931.845160	94	5
CL0040	-404430.714286	5119.961039	NA	100	1
CL0041	116257.500000	-975.545455	NA	90	3
CL0042	62980.100000	-47736.487696	-30306.176318	93	5
CL0043	224310.000000	-300641.502569	-89460.867582	90	5
CL0044	488490.404762	-3445.093074	NA	90	3
CL0045	58783.000000	-69724.064154	-15928.821232	90	5
CL0046	57551.500000	-125046.035506	19710.847313	90	4*
CL0047	104103.500000	-155477.686724	-33387.340566	90	5
CL0048	35414.600000	-113946.062532	55293.223607	90	4*
CL0049	8400.200000	-25333.514268	11339.255347	90	4*
CL0050	92510.000000	-91806.059417	-65339.610566	93	5
CL0051	58545.700000	-171700.660129	64433.971576	90	4*
CL0052	35223.300000	-75042.019235	14607.281634	90	4*
CL0053	657912.523810	-6622.465368	NA	90	3
CL0054	29183.100000	-34985.059489	-6693.505930	90	5
CL0055	1127425.690476	-10412.995671	NA	90	3
CL0056	16449.800000	-16279.316755	-3641.058044	90	5
CL0057	824329.100000	329865.912194	-712022.193122	96	5
CL0058	367526.595238	-2163.179654	NA	90	3
CL0059	83398.333333	-807.651515	NA	90	3
CL0060	128943.900000	-42882.782682	-93952.274081	94	5
CL0061	519454.190476	-5146.086580	NA	90	3
CL0062	5143391.857143	-51121.116883	NA	90	3
CL0063	3308334.047619	-32909.476190	NA	90	3
CL0064	96571.000000	31182.028965	-39589.813772	96	5
CL0065	405150.404762	-4005.638528	NA	90	3
CL0066	1222779.976190	-12271.716450	NA	90	3
CL0067	171129.100000	-90011.685989	-98324.861869	94	5
CL0068	136878.900000	-158009.121894	-83879.037024	92	5
CL0069	13510.200000	-34376.850912	7943.786409	90	4*
CL0070	60285.200000	-68649.233596	-21157.511784	90	5
CL0071	17215.700000	614.179973	-6419.682079	95	5
CL0072	76826.400000	-107857.610050	-33037.200626	90	5
CL0073	9341.700000	-21952.080979	5745.469671	90	4*
CL0074	77104.200000	-68803.616041	-28919.187095	91	5
CL0075	330971.285714	-3290.629870	NA	90	3
CL0076	34670.200000	-71812.097129	9708.979745	90	4*
CL0077	159135.700000	-207518.011609	-67892.226200	90	5
CL0078	230024.285714	-2261.266234	NA	90	3
CL0079	12290.500000	-27950.712839	6118.105098	90	4*
CL0080	54515.857143	-447.298701	NA	90	3
CL0081	1677630.523810	-15999.919913	NA	90	3
CL0082	815505.928571	-8201.558442	NA	90	3
CL0083	26433.900000	-35525.793366	-8765.574024	90	5
CL0084	455755.119048	-4585.326840	NA	90	3
CL0085	581877.952381	-5860.205628	NA	90	3
CL0086	495486.500000	-4965.409091	NA	90	3
CL0087	798520.119048	-8023.190476	NA	90	3
CL0088	281055.900000	-72596.097791	-231430.073728	94	5
CL0089	24578.900000	-31471.797741	-5755.939805	90	5
CL0090	16621.300000	-20962.389635	-4265.337896	90	5
CL0091	7011.800000	-21535.498052	9766.347249	90	4*
CL0092	6736.300000	-17080.045651	4488.893065	90	4*
CL0093	69205.600000	-174374.930270	35948.299196	90	4*
CL0094	123450.190476	-1202.813853	NA	90	3
CL0095	13871.800000	-32538.576276	5549.180999	90	4*
CL0096	90923.100000	-69827.325620	-39890.497756	92	5
CL0097	35474.700000	-28200.200697	-20030.254124	93	5
CL0098	-104217.000000	1196.909091	NA	100	1
CL0099	474347.833333	-4771.151515	NA	90	3
CL0100	32000.700000	-26439.054864	-14178.502811	92	5
CL0101	4581.800000	-11627.245202	2865.876823	90	4*
CL0102	11487.000000	-25400.697679	3506.406202	90	4*
CL0103	93430.900000	-65019.810501	-61103.525832	93	5
CL0104	130682.100000	598151.080514	562645.374770	100	4
CL0105	27679.900000	-4025.220569	-22311.825233	95	5
