Cluster	Lineage
CL0001	LTR/Gypsy
CL0002	LTR/Gypsy
CL0003	LTR/Gypsy
CL0004	LTR/Gypsy
CL0006	LTR/Gypsy
CL0007	LTR/Gypsy
CL0008	LTR/Gypsy
CL0009	LTR/Gypsy
CL0010	LTR/Gypsy
CL0011	LTR/Gypsy
CL0012	LTR/Gypsy
CL0013	LTR/Gypsy
CL0014	LTR
CL0015	LTR/Gypsy
CL0016	LTR/Gypsy
CL0017	LTR/Gypsy
CL0018	LTR/Gypsy
CL0019	LTR/Gypsy
CL0020	LTR/Gypsy
CL0021	LTR/Gypsy
CL0022	LTR
CL0023	LTR/Gypsy
CL0024	LTR/Gypsy
CL0025	LTR/Gypsy
CL0026	LTR/Gypsy
CL0027	LTR/Gypsy
CL0028	LTR/Gypsy
CL0029	LTR/Gypsy
CL0030	LTR/Gypsy
CL0032	LTR/Gypsy
CL0033	LTR
CL0034	LTR/Gypsy
CL0036	LTR/Gypsy
CL0037	LTR/Gypsy
CL0038	LTR/Gypsy
CL0039	LTR/Copia
CL0040	LTR/Gypsy
CL0041	LTR/Gypsy
CL0042	LTR/Gypsy
CL0043	LTR/Gypsy
CL0044	LTR/Gypsy
CL0045	LTR/Gypsy
CL0046	LTR/Gypsy
CL0049	LTR/Gypsy
CL0051	LTR/Gypsy
CL0052	LTR
CL0053	LTR/Gypsy
CL0054	LTR/Gypsy
CL0055	LTR/Gypsy
CL0056	LTR/Gypsy
CL0057	LTR/Gypsy
CL0058	LTR/Gypsy
CL0059	LTR/Gypsy
CL0060	LTR/Gypsy
CL0061	LTR/Gypsy
CL0062	LTR/Gypsy
CL0063	LTR/Gypsy
CL0064	LTR
CL0065	LTR/Gypsy
CL0066	LTR/Gypsy
CL0067	LTR/Gypsy
CL0068	LTR/Gypsy
CL0069	LTR/Gypsy
CL0070	LTR/Gypsy
CL0071	LTR/Gypsy
CL0072	LTR/Gypsy
CL0073	LTR/Gypsy
CL0074	LTR/Gypsy
CL0075	LTR/Gypsy
CL0076	LTR/Gypsy
CL0077	LTR/Gypsy
CL0078	LTR/Gypsy
CL0079	LTR/Gypsy
CL0080	LTR/Gypsy
CL0081	LTR
CL0082	LTR/Copia
CL0083	LTR/Gypsy
CL0084	DNA/MULE-MuDR
CL0085	LTR/Copia
CL0086	LTR/Gypsy
CL0087	LTR/Gypsy
CL0088	LTR/Gypsy
CL0089	LTR/Copia
CL0090	LTR/Gypsy
CL0091	LTR/Gypsy
CL0092	LTR/Gypsy
CL0093	LTR/Copia
CL0094	LTR/Gypsy
CL0095	LTR/Gypsy
CL0096	*
CL0097	LTR
CL0098	LTR/Copia
CL0099	LTR/Gypsy
CL0100	DNA/MULE-MuDR
CL0101	LTR/Gypsy
CL0102	LTR/Gypsy
CL0103	LTR/Gypsy
CL0104	LTR/Gypsy
CL0105	LTR/Gypsy
CL0106	LTR
CL0107	LTR/Gypsy
CL0108	LTR/Gypsy
CL0109	LTR/Gypsy
CL0110	LTR/Copia
CL0111	LTR/Gypsy
CL0112	LTR/Gypsy
CL0113	LTR/Gypsy
CL0114	LTR/Gypsy
CL0115	LTR/Gypsy
CL0116	LTR
CL0117	LTR
CL0118	LTR/Copia
CL0119	LTR/Gypsy
CL0120	*
CL0121	LTR
CL0122	LTR/Copia
CL0123	*
CL0124	LTR
CL0125	LTR/Gypsy
CL0126	LTR/Gypsy
CL0127	LTR
CL0128	LTR/Gypsy
CL0129	LTR/Gypsy
CL0130	LTR/Gypsy
CL0131	LTR/Gypsy
CL0132	LTR/Gypsy
CL0133	LTR/Copia
CL0134	LTR/Gypsy
CL0135	LTR/Gypsy
CL0136	LTR/Gypsy
CL0137	LTR/Gypsy
CL0138	LTR/Gypsy
CL0139	LTR/Copia
CL0140	LTR/Gypsy
CL0141	LTR/Gypsy
CL0142	LTR/Gypsy
CL0143	LTR/Copia
CL0144	LTR/Gypsy
CL0145	*
CL0146	LTR/Copia
CL0147	LTR/Copia
CL0148	LTR/Gypsy
CL0149	LTR/Gypsy
CL0150	LTR/Gypsy
CL0151	LTR/Gypsy
CL0152	LTR/Gypsy
CL0153	*
CL0154	LTR/Gypsy
CL0155	LTR/Copia
CL0156	*
CL0157	LTR/Gypsy
CL0158	LTR/Gypsy
CL0159	LTR/Gypsy
CL0160	LTR/Gypsy
CL0161	*
CL0162	LTR/Gypsy
CL0163	LTR/Gypsy
CL0164	LTR/Gypsy
CL0165	LTR/Gypsy
CL0166	LTR/Copia
CL0167	LTR/Gypsy
CL0168	LTR/Gypsy
CL0169	LTR/Gypsy
CL0170	LTR/Copia
CL0171	LTR/Gypsy
CL0172	LTR/Gypsy
CL0173	LTR/Copia
CL0174	LTR/Gypsy
CL0175	Unspecified
CL0176	LTR
CL0177	LTR/Gypsy
CL0178	*
CL0179	LTR/Gypsy
CL0180	LTR/Gypsy
CL0181	LTR
CL0182	LTR
CL0183	Unspecified
CL0184	LTR
CL0185	LTR/Gypsy
CL0186	LTR/Copia
CL0187	LTR/Gypsy
CL0188	LTR/Gypsy
CL0189	LTR/Gypsy
CL0190	LTR/Gypsy
CL0191	LTR/Gypsy
CL0192	LTR/Gypsy
CL0193	LTR/Gypsy
CL0194	LTR/Copia
CL0195	rRNA
CL0196	LTR/Gypsy
CL0197	LTR/Copia
CL0198	LTR/Gypsy
CL0199	LTR/Gypsy
CL0200	LTR/Gypsy
CL0201	LTR/Gypsy
CL0202	LTR/Gypsy
CL0203	LTR/Gypsy
CL0204	LTR
CL0205	LTR/Gypsy
CL0206	LTR/Gypsy
CL0207	LTR/Gypsy
CL0208	LTR/Gypsy
CL0209	LTR/Gypsy
CL0210	LTR/Gypsy
CL0211	LTR/Gypsy
CL0212	LTR/Gypsy
CL0213	*
CL0214	LTR/Copia
