underZero	total_under	overZero	total_over	median	sum
overall	649	356524	512	318017	-25	NA
vecD1_2	27	-4958	16	7012	-56.5	2054
vecD1_35	25	-5116.5	18	1212	-33	-3904.5
vecD10_3	20	-6815.5	23	6583	19.5	-232.5
vecD10_7	30	-9179.5	13	4663	-127.5	-4516.5
vecD10_8	27	-7509.5	16	4242.5	-66.5	-3267
vecD11_1	26	-5637.5	17	3390.5	-27	-2247
vecD2_1_6	23	-4266	20	6107.5	-11.5	1841.5
vecD2_2	30	-8970.5	13	3910	-98.5	-5060.5
vecD3D_27	22	-4846.5	21	3152	-7	-1694.5
vecD3K_56	25	-7203	18	2457	-57	-4746
vecD3K_57	24	-3273	19	5038	-6	1765
vecD4_185	23	-7817	20	5374.5	-6	-2442.5
vecD5_2	22	-7574	21	8608	-10	1034
vecD5_31	19	-6798.5	24	2435	9	-4363.5
vecD5_4	27	-10321.5	16	5567	-98.5	-4754.5
vecD5_53	29	-11946	14	3358	-114.5	-8588
vecD5_6	13	-1415.5	30	20197.5	165.5	18782
vecD5_8	28	-6964	15	4870	-52.5	-2094
vecD5_ref	28	-7103.5	15	2357.5	-30	-4746
vecD6_5	24	-5403.5	19	1966.5	-42.5	-3437
vecD6_7	26	-7874	17	5754.5	-103	-2119.5
vecD7_157	26	-9155	17	5182.5	-51	-3972.5
vecD7_4	20	-3799	23	6074	20	2275
vecD8_8	21	-2257.5	22	6504.5	18	4247
vecD8_9	21	-5592.5	22	5785	2.5	192.5
vecD9_4	20	-3062.5	23	4827.5	7.5	1765
