underZero	total_under	overZero	total_over	median	sum
overall	194	38490	184	33141	-3	NA
vecD1_2	10	-2227.5	4	1832	-24.75	-395.5
vecD1_35	7	-1995.5	7	2560.5	-3	565
vecD10_3	7	-394.5	7	4716.5	9.5	4322
vecD10_7	7	-234	7	5032	2	4798
vecD10_8	7	-345.5	7	4497.5	5.5	4152
vecD11_1	8	-662	6	1490.5	-14	828.5
vecD2_1_6	7	-224	7	4911.5	92.75	4687.5
vecD2_2	7	-481	7	4726.5	33.25	4245.5
vecD3D_27	4	-272.5	10	9252.5	443.25	8980
vecD3K_56	4	-639.5	10	14031	487.75	13391.5
vecD3K_57	3	-68	11	13842	683.25	13774
vecD4_185	7	-896	7	1767	23.5	871
vecD5_2	8	-5595	6	2700.5	-290.25	-2894.5
vecD5_31	9	-4969.5	5	2296	-298.25	-2673.5
vecD5_4	10	-5496	4	2287	-134.75	-3209
vecD5_53	9	-5870.5	5	2976	-315.75	-2894.5
vecD5_6	5	-696.5	9	7228.5	168	6532
vecD5_8	10	-3872.5	4	1335	-99.25	-2537.5
vecD5_ref	8	-2328	6	2604	-30.5	276
vecD6_5	7	-394.5	7	4181	31	3786.5
vecD6_7	6	-339.5	8	4891	101.25	4551.5
vecD7_157	6	-526.5	8	4763.5	235.25	4237
vecD7_4	5	-296.5	9	5774.5	99.25	5478
vecD8_8	6	-189	8	3278.5	60	3089.5
vecD8_9	8	-908.5	6	2162	-17	1253.5
vecD9_4	6	-247.5	8	3235	83	2987.5
