	underZero	total_under	overZero	total_over	median	sum
overall	176	31914	175	29862	-0.5	NA
vecD1_2	9	-2201	4	1832	-23	-369
vecD1_35	7	-1995.5	6	2544.5	-19.5	549
vecD10_3	6	-342.5	7	4716.5	21.5	4374
vecD10_7	6	-190.5	7	5032	6	4841.5
vecD10_8	6	-293.5	7	4497.5	13.5	4204
vecD11_1	7	-610	6	1490.5	-8.5	880.5
vecD2_1_6	6	-172	7	4911.5	189	4739.5
vecD2_2	6	-429	7	4726.5	81	4297.5
vecD3D_27	4	-272.5	9	7698	399.5	7425.5
vecD3K_56	4	-639.5	9	12714.5	438	12075
vecD3K_57	3	-68	10	12330	546	12262
vecD4_185	6	-844	7	1767	56	923
vecD5_2	8	-5595	5	2693	-554.5	-2902
vecD5_31	9	-4969.5	4	2288.5	-550.5	-2681
vecD5_4	9	-5495	4	2287	-216.5	-3208
vecD5_53	9	-5870.5	4	2875	-580	-2995.5
vecD5_6	5	-696.5	8	7221	304	6524.5
vecD5_8	9	-3837.5	4	1335	-163.5	-2502.5
vecD5_ref	7	-2318.5	6	2604	-51.5	285.5
vecD6_5	6	-342.5	7	4181	73	3838.5
vecD6_7	5	-296	8	4891	104	4595
vecD7_157	5	-491.5	8	4763.5	244.5	4272
vecD7_4	4	-244.5	9	5774.5	107	5530
vecD8_8	6	-189	7	3228.5	70	3039.5
vecD8_9	7	-856.5	6	2162	-14.5	1305.5
vecD9_4	5	-195.5	8	3235	84.5	3039.5
