Cluster	Lineage
CL0001	LTR/Gypsy
CL0002	LTR/Gypsy
CL0003	LTR/Gypsy
CL0004	LTR/Gypsy
CL0005	LTR/Gypsy
CL0006	LTR/Gypsy
CL0007	LTR/Gypsy
CL0008	LTR
CL0009	LTR/Gypsy
CL0010	LTR/Gypsy
CL0011	LTR/Gypsy
CL0012	LTR/Gypsy
CL0013	LTR/Gypsy
CL0014	LTR/Gypsy
CL0015	LTR/Gypsy
CL0016	LTR/Gypsy
CL0017	LTR/Gypsy
CL0018	LTR/Gypsy
CL0019	LTR
CL0020	LTR/Gypsy
CL0021	LTR/Gypsy
CL0022	LTR/Gypsy
CL0023	LTR/Gypsy
CL0024	LTR/Gypsy
CL0025	LTR/Gypsy
CL0026	LTR/Gypsy
CL0027	LTR/Gypsy
CL0028	LTR/Gypsy
CL0029	LTR/Gypsy
CL0030	LTR/Gypsy
CL0031	LTR/Gypsy
CL0032	LTR/Gypsy
CL0033	LTR/Gypsy
CL0034	LTR/Gypsy
CL0035	LTR/Gypsy
CL0036	LTR/Gypsy
CL0037	LTR
CL0038	LTR/Gypsy
CL0039	LTR/Gypsy
CL0040	LTR/Copia
CL0041	LTR/Gypsy
CL0042	LTR/Gypsy
CL0043	LTR
CL0044	LTR/Gypsy
CL0045	LTR
CL0046	LTR/Gypsy
CL0047	LTR/Gypsy
CL0048	LTR
CL0049	LTR/Gypsy
CL0050	LTR/Gypsy
CL0051	LTR/Gypsy
CL0052	LTR/Gypsy
CL0053	LTR/Gypsy
CL0054	LTR/Gypsy
CL0055	LTR/Gypsy
CL0056	LTR/Gypsy
CL0057	LTR/Gypsy
CL0058	LTR/Copia
CL0059	LTR/Gypsy
CL0060	LTR
CL0061	LTR/Gypsy
CL0062	LTR/Gypsy
CL0063	LTR/Gypsy
CL0064	LTR
CL0065	LTR/Gypsy
CL0066	LTR/Gypsy
CL0067	LTR/Gypsy
CL0068	LTR/Gypsy
CL0069	LTR/Copia
CL0070	LTR/Gypsy
CL0071	DNA/MULE-MuDR
CL0072	LTR
CL0073	LTR/Gypsy
CL0074	LTR/Gypsy
CL0075	LTR/Gypsy
CL0076	LTR/Copia
CL0077	LTR/Gypsy
CL0078	LTR/Copia
CL0079	*
CL0080	LTR/Gypsy
CL0081	Unspecified
CL0082	LTR/Gypsy
CL0083	LTR/Gypsy
CL0084	LTR
CL0085	LTR/Gypsy
CL0086	DNA/MULE-MuDR
CL0087	LTR/Gypsy
CL0088	LTR/Gypsy
CL0089	LTR/Gypsy
CL0090	LTR/Gypsy
CL0091	LTR/Gypsy
CL0092	LTR/Gypsy
CL0093	LTR/Gypsy
CL0094	LTR/Gypsy
CL0095	LTR/Gypsy
CL0096	LTR/Gypsy
CL0097	LTR/Gypsy
CL0098	LTR/Gypsy
CL0099	LTR/Gypsy
CL0100	LTR/Gypsy
CL0101	LTR
CL0102	LTR/Gypsy
CL0103	LTR/Gypsy
CL0104	LTR
CL0105	LTR/Copia
CL0106	LTR/Copia
CL0107	LTR/Gypsy
CL0108	LTR/Copia
CL0109	LTR/Copia
CL0110	LTR/Gypsy
CL0111	LTR/Copia
CL0112	LTR/Gypsy
CL0113	LTR/Gypsy
CL0114	LTR/Gypsy
CL0115	LTR/Gypsy
CL0116	LTR/Gypsy
CL0117	LTR/Gypsy
CL0118	LTR/Copia
CL0119	LTR/Gypsy
CL0120	LTR/Gypsy
CL0121	LTR/Gypsy
CL0122	LTR/Gypsy
CL0123	LTR/Gypsy
CL0124	LTR/Gypsy
CL0125	LTR/Gypsy
CL0126	LTR/Gypsy
CL0127	LTR/Gypsy
CL0128	LTR/Gypsy
CL0129	LTR/Gypsy
CL0130	LTR/Gypsy
CL0131	LTR
CL0132	*
CL0133	LTR/Copia
CL0134	LTR/Gypsy
CL0135	LTR/Gypsy
CL0136	LTR/Copia
CL0137	LTR/Copia
CL0138	LTR/Copia
CL0139	LTR/Copia
CL0140	LTR/Gypsy
CL0141	Unspecified
CL0142	LTR/Gypsy
CL0143	*
CL0144	LTR/Gypsy
CL0145	LTR/Gypsy
CL0146	LTR/Gypsy
CL0147	DNA/MULE-MuDR
CL0148	LTR/Copia
CL0149	LTR/Gypsy
CL0150	LTR/Gypsy
CL0151	LTR/Gypsy
CL0152	LTR/Gypsy
CL0153	LTR/Copia
CL0154	LTR/Copia
CL0155	*
CL0156	LTR/Gypsy
CL0157	LTR/Gypsy
CL0158	LTR/Gypsy
CL0159	LTR/Gypsy
CL0160	LTR/Gypsy
CL0161	LTR/Gypsy
CL0162	LTR/Gypsy
CL0163	LTR/Gypsy
CL0164	LTR/Gypsy
CL0165	LTR/Copia
CL0166	LTR/Gypsy
CL0167	LTR/Gypsy
CL0168	*
CL0169	LTR
CL0170	LTR/Gypsy
CL0171	LTR/Gypsy
CL0172	*
CL0173	LTR/Gypsy
CL0174	LTR/Copia
CL0175	LTR/Gypsy
CL0176	LTR/Gypsy
CL0177	LTR/Gypsy
CL0178	LTR/Gypsy
CL0179	LTR/Copia
CL0180	LTR/Gypsy
CL0181	LTR/Gypsy
CL0182	LTR/Gypsy
CL0183	LTR/Gypsy
CL0184	LTR/Gypsy
CL0185	LTR/Gypsy
CL0186	LTR/Gypsy
