underZero	total_under	overZero	total_over	median	sum
youngD1_2	138	-96958	86	35627	-86	-61331
youngD1_35	140	-82314.5	84	17634.5	-58	-64680
youngD10_3	102	-75212.5	120	34103	22.5	-41109.5
youngD10_7	125	-91009.5	99	30426.5	-35.5	-60583
youngD10_8	129	-85439	95	27363.5	-42.5	-58075.5
youngD11_1	130	-88984	94	25281.5	-34	-63702.5
youngD2_1_6	106	-71165.5	117	34756.5	12	-36409
youngD2_2	125	-86442	99	27491	-37	-58951
youngD3D_27	128	-88801.5	95	28278	-34.5	-60523.5
youngD3K_56	136	-90634	88	31343	-58.5	-59291
youngD3K_57	135	-88839	89	33441	-52	-55398
youngD4_185	133	-87472.5	90	27093.5	-47.5	-60379
youngD5_2	100	-84648.5	124	44108.5	26.5	-40540
youngD5_31	114	-85004	110	20936	-2	-64068
youngD5_4	142	-105032.5	81	28427	-96.5	-76605.5
youngD5_53	141	-107702.5	83	22690.5	-86	-85012
youngD5_6	121	-77957.5	103	82459	-25.5	4501.5
youngD5_8	143	-98348	81	43086	-103.5	-55262
youngD5_ref	131	-96043.5	91	29077	-51.5	-66966.5
youngD6_5	144	-95481	80	19309	-84	-76172
youngD6_7	144	-104976.5	80	57296.5	-102	-47680
youngD7_157	127	-95259	97	31990	-40	-63269
youngD7_4	123	-87572	101	34248	-35	-53324
youngD8_8	99	-71189.5	124	36557	48.5	-34632.5
youngD8_9	143	-99801.5	81	35172.5	-89	-64629
youngD9_4	115	-79739.5	109	27580	-15	-52159.5
