	D1	D10	D11	D21	D22	D3D	D3K	D4	D5	D6	D7	D8	D9
OG1	318	839	485	141	259	363	390	239	14	230	257	361	253
OG2	84	640	151	11	41	90	60	43	3	43	38	67	36
OG3	68	159	83	15	43	56	39	37	4	31	28	44	29
OG4	49	148	59	30	34	54	57	25	0	33	34	56	34
OG5	43	51	45	27	41	45	45	32	4	25	34	38	28
OG6	42	68	46	16	31	41	30	32	10	34	37	43	14
OG7	22	74	42	15	20	33	37	20	1	29	22	34	27
OG8	29	40	51	17	22	38	26	24	10	28	23	39	12
OG9	25	57	43	8	15	24	31	12	1	26	14	27	20
OG10	23	22	27	16	22	22	19	23	17	13	20	26	16
OG11	22	29	26	10	16	25	20	19	2	15	18	17	12
OG12	19	45	15	12	17	21	18	14	1	15	13	17	11
OG13	22	29	15	13	18	18	17	17	3	13	16	23	13
OG14	17	71	21	5	9	17	14	8	0	10	8	20	10
OG15	20	21	19	11	11	21	19	14	2	16	10	23	8
OG16	19	27	13	6	13	19	20	15	2	23	10	18	6
OG17	18	19	18	8	16	17	18	15	6	16	10	19	10
OG18	20	12	11	6	21	12	16	21	18	12	14	18	8
OG19	14	14	18	18	18	13	11	16	0	15	13	14	16
OG20	21	45	18	2	11	16	10	7	0	13	7	14	10
OG21	14	22	18	6	9	16	15	10	9	15	8	15	11
OG22	13	37	18	9	9	14	17	5	0	11	9	16	10
OG23	10	26	18	10	19	17	15	7	3	12	11	9	7
OG24	17	19	20	6	8	15	14	5	2	15	10	20	11
OG25	18	12	17	9	16	14	12	11	5	12	7	16	12
OG26	13	15	15	10	11	17	15	7	6	11	11	15	14
OG27	13	14	12	12	12	16	15	12	10	6	12	13	11
OG28	18	36	16	1	7	10	10	11	5	19	5	15	5
OG29	12	24	14	6	9	14	13	11	3	15	7	16	11
OG30	14	19	14	10	16	21	10	10	7	6	13	8	5
OG31	13	13	14	9	9	13	15	13	8	9	6	13	13
OG32	16	15	14	2	14	14	14	13	3	8	13	13	6
OG33	16	21	11	8	14	9	11	12	2	12	9	16	4
OG34	10	25	16	3	8	14	15	9	6	7	7	17	7
OG35	9	33	14	4	10	16	10	9	0	8	6	15	9
OG36	16	23	15	4	8	10	15	4	5	13	4	16	8
OG37	12	14	13	4	12	11	12	11	5	11	10	13	12
OG38	13	14	14	2	13	13	12	11	2	11	10	13	11
OG39	16	24	9	5	9	16	13	7	7	11	7	9	4
OG40	10	36	11	1	5	19	14	5	0	10	3	15	3
OG41	12	30	8	7	10	14	12	3	1	9	5	13	5
OG42	14	21	12	2	8	15	9	14	0	7	9	11	5
OG43	10	17	13	4	5	11	14	9	3	11	12	10	8
OG44	11	13	11	4	9	12	10	9	6	9	12	11	8
OG45	13	11	13	3	6	14	11	7	2	12	9	13	9
OG46	11	10	12	8	11	10	9	8	7	5	9	10	10
OG47	5	66	12	2	2	4	3	2	0	4	3	10	5
OG48	9	13	11	1	12	9	6	14	3	10	12	12	5
OG49	10	8	11	5	8	12	13	11	1	6	10	13	9
OG50	6	17	12	2	11	9	8	11	4	5	14	6	10
OG51	10	11	9	7	10	9	10	8	5	7	10	9	9
OG52	8	6	10	6	7	11	12	10	8	9	9	11	7
OG53	12	25	13	2	7	8	7	3	2	8	6	15	5
OG54	9	8	10	5	6	9	11	7	8	9	8	10	10
OG55	11	17	12	4	0	14	14	6	0	7	7	12	3
OG56	1	88	4	1	0	3	1	1	1	2	2	2	1
OG57	7	27	11	2	3	14	10	3	0	8	5	8	6
OG58	9	9	9	8	8	9	9	5	6	9	7	8	8
OG59	15	18	16	1	7	7	10	3	2	4	5	14	1
OG60	9	8	7	14	9	12	13	5	4	5	2	9	6
OG61	12	13	13	4	5	13	10	3	1	5	6	9	9
OG62	12	14	6	4	9	13	9	5	1	4	5	15	5
OG63	9	21	5	7	10	10	11	4	1	6	2	11	4
OG64	10	10	7	6	7	9	9	8	2	7	10	8	8
OG65	10	11	6	6	8	9	10	6	3	7	9	10	5
OG66	8	24	11	4	5	12	10	4	0	7	4	8	3
OG67	7	19	8	4	5	8	9	7	2	10	10	6	5
OG68	7	19	4	9	10	9	9	6	0	4	7	12	4
OG69	7	16	5	4	11	9	7	9	2	8	9	10	3
OG70	8	15	11	6	12	7	6	3	4	7	4	10	6
OG71	6	14	8	4	9	9	12	3	0	7	9	11	7
OG72	7	9	10	9	7	8	9	4	4	5	9	9	8
OG73	7	21	11	5	5	10	9	3	1	5	5	10	6
OG74	8	9	10	6	6	7	8	9	4	6	7	9	8
OG75	10	13	16	5	8	10	7	4	2	3	8	7	4
OG76	6	6	8	8	6	6	8	9	8	5	10	6	10
OG77	14	11	10	0	11	4	2	6	5	6	7	13	7
OG78	11	11	8	4	7	9	8	6	2	6	8	9	6
OG79	12	11	8	1	8	9	9	10	5	5	6	9	2
OG80	7	9	7	8	8	7	7	8	8	4	10	6	6
OG81	6	17	10	3	8	14	10	3	1	7	3	10	2
OG82	7	9	8	4	8	9	7	8	7	8	7	7	4
OG83	8	25	9	2	7	9	8	4	2	3	3	9	1
OG84	8	8	10	8	5	7	7	4	3	5	6	8	9
OG85	10	11	6	1	7	11	7	3	3	8	6	10	5
OG86	8	14	6	4	6	12	12	3	4	2	3	8	5
OG87	7	7	7	7	7	7	8	6	3	7	7	7	7
OG88	7	9	6	1	8	10	9	5	2	7	7	8	7
OG89	6	7	10	4	4	10	10	6	0	6	6	9	7
OG90	5	9	5	9	7	9	10	4	1	8	4	6	8
OG91	7	6	8	5	5	7	7	7	6	7	5	7	7
OG92	7	8	8	5	7	7	7	6	4	6	6	7	6
OG93	5	9	10	1	6	9	9	9	2	5	9	7	3
OG94	10	12	6	2	1	11	18	2	0	6	5	9	2
OG95	5	21	7	4	8	5	7	4	2	5	3	8	5
OG96	5	16	7	6	7	11	7	2	2	6	5	6	3
OG97	10	10	9	5	5	10	7	3	1	7	4	8	4
OG98	8	8	8	7	6	8	8	2	2	5	4	8	8
OG99	6	8	8	7	6	8	9	6	4	3	4	8	5
OG100	9	7	9	4	4	8	7	7	2	7	6	6	5
OG101	7	6	6	5	8	10	7	7	4	4	5	8	4
OG102	7	7	7	4	8	8	6	7	4	5	6	6	5
OG103	8	7	7	6	7	7	7	4	3	5	4	7	8
OG104	6	10	8	4	5	9	8	8	2	5	6	4	5
OG105	11	19	7	2	4	8	8	3	3	5	0	9	1
OG106	6	20	11	3	3	7	4	2	1	10	2	8	3
OG107	8	14	5	2	8	9	9	4	1	5	5	8	1
OG108	7	7	8	2	6	7	7	2	2	9	5	10	7
OG109	5	8	8	5	7	7	6	7	5	3	8	2	8
OG110	6	6	6	6	5	6	6	7	6	5	6	7	5
OG111	5	7	7	5	6	8	6	7	3	5	6	6	6
OG112	6	10	9	3	9	7	5	5	0	6	3	9	5
OG113	7	7	6	6	5	6	6	5	7	5	5	6	6
OG114	6	5	5	7	6	7	7	5	6	5	7	6	5
OG115	7	6	7	5	7	7	7	6	3	4	6	7	5
OG116	10	10	7	6	6	4	6	3	2	5	4	8	5
OG117	7	10	7	2	8	7	6	3	2	6	7	6	5
OG118	9	7	10	2	6	7	6	6	0	6	6	6	4
OG119	8	20	4	3	3	6	8	1	1	6	5	8	2
OG120	6	5	6	6	7	5	5	9	5	2	7	6	6
OG121	6	7	6	6	5	6	6	7	4	3	6	7	5
