	D1-35	D10-7	D11-1	D2-1-6	D2-2	D3-D-27	D3-K-57	D4-185	D5-8	D6-5	D7-157	D8-8	D9-4
D1-35	26948	24639	24455	20409	23086	24767	24444	22812	21754	18487	23110	24468	22455
D10-7	24639	27554	24766	20489	23738	24894	24391	22947	21659	18492	23201	24183	22476
D11-1	24455	24766	26922	20503	23156	24658	24347	23102	21781	18505	23388	23969	22839
D2-1-6	20409	20489	20503	22130	19861	20550	20611	19574	19108	15675	19822	20240	19616
D2-2	23086	23738	23156	19861	26019	23304	23053	22380	21025	17461	22619	22625	21463
D3-D-27	24767	24894	24658	20550	23304	27567	25711	23016	21837	18580	23261	24265	22603
D3-K-57	24444	24391	24347	20611	23053	25711	27047	22670	21894	18468	22983	24078	22563
D4-185	22812	22947	23102	19574	22380	23016	22670	25649	20963	17278	22919	22328	21520
D5-8	21754	21659	21781	19108	21025	21837	21894	20963	23754	16486	21221	21445	20598
D6-5	18487	18492	18505	15675	17461	18580	18468	17278	16486	20022	17553	18124	17116
D7-157	23110	23201	23388	19822	22619	23261	22983	22919	21221	17553	25963	22577	21869
D8-8	24468	24183	23969	20240	22625	24265	24078	22328	21445	18124	22577	26285	22178
D9-4	22455	22476	22839	19616	21463	22603	22563	21520	20598	17116	21869	22178	24367
