G. raimondii	G. armourianum	G. harknessii	G. turneri	G. aridum	G. laxum	G. lobatum	G. schwendemanii	G. thurberi 	G. trilobum	G. davidsonii	G. klotzschianum	G. gossypioides
G. raimondii	NA	0.0194 (0.0115-0.0334)	0.0215 (0.0132-0.0375)	0.0216 (0.0133-0.0361)	0.0238 (0.0149-0.0403)	0.0208 (0.0130-0.0343)	0.0241 (0.0150-0.0401)	0.0228 (0.0149-0.0359)	0.0166 (0.0099-0.0285)	0.0177 (0.0101-0.0314)	0.0178 (0.0106-0.0305)	0.0173 (0.0102-0.0295)	0.0253 (0.0170-0.0394)
G. armourianum	0.0023 (0.0008-0.00410)	NA	0.0144 (0.0072-0.0301)	0.0140 (0.0069-0.0286)	0.0229 (0.0134-0.0402)	0.0198 (0.0117-0.0339)	0.0229 (0.0137-0.0398)	0.0216 (0.0133-0.0349)	0.0166 (0.0095-0.0294)	0.0178 (0.0099-0.0324)	0.0194 (0.0115-0.0338)	0.0187 (0.0111-0.0323)	0.0241 (0.0155-0.0394)
G. harknessii	0.0025 (0.0011-0.00460)	0.0016 (0.0000-0.00330)	NA	0.0080 (0.0000-0.0235)	0.0245 (0.0149-0.0419)	0.0225 (0.0138-0.0383)	0.0246 (0.0149-0.0410)	0.0241 (0.0149-0.0403)	0.0192 (0.0112-0.0348)	0.0201 (0.0118-0.0367)	0.0218 (0.0132-0.0381)	0.0211 (0.0129-0.0364)	0.0266 (0.0175-0.0438)
G. turneri	0.0026 (0.0012-0.00470)	0.0016 (0.0000-0.00330)	0.0001 (0.0000-0.00250)	NA	0.0248 (0.0154-0.0426)	0.0214 (0.0134-0.0362)	0.0248 (0.0153-0.0415)	0.0227 (0.0148-0.0356)	0.0186 (0.0113-0.0313)	0.0186 (0.0111-0.0315)	0.0201 (0.0126-0.0328)	0.0200 (0.0124-0.0327)	0.0256 (0.0170-0.0393)
G. aridum	0.0027 (0.0012-0.00490)	0.0026 (0.0011-0.00470)	0.0028 (0.0013-0.00510)	0.0029 (0.0013-0.00530)	NA	0.0150 (0.0076-0.0296)	0.0154 (0.0079-0.0297)	0.0166 (0.0090-0.0314)	0.0216 (0.0132-0.0372)	0.0235 (0.0138-0.0411)	0.0236 (0.0149-0.0398)	0.0235 (0.0149-0.0397)	0.0287 (0.0187-0.0460)
G. laxum	0.0026 (0.0011-0.00450)	0.0023 (0.0009-0.00430)	0.0026 (0.0012-0.00470)	0.0027 (0.0012-0.00490)	0.0015 (0.0000-0.00330)	NA	0.0146 (0.0076-0.0286)	0.0137 (0.0076-0.0236)	0.0183 (0.0112-0.0302)	0.0192 (0.0118-0.0321)	0.0204 (0.0127-0.0333)	0.0199 (0.0125-0.0322)	0.0247 (0.0164-0.0382)
G. lobatum	0.0028 (0.0013-0.00500)	0.0026 (0.0012-0.00480)	0.0028 (0.0013-0.00510)	0.0030 (0.0014-0.00530)	0.0016 (0.0000-0.00340)	0.0016 (0.0000-0.00330)	NA	0.0166 (0.0094-0.0304)	0.0215 (0.0132-0.0366)	0.0231 (0.0139-0.0400)	0.0238 (0.0148-0.0401)	0.0235 (0.0146-0.0391)	0.0284 (0.0186-0.0438)
G. schwendemanii	0.0028 (0.0013-0.00490)	0.0026 (0.0012-0.00460)	0.0030 (0.0014-0.00520)	0.0028 (0.0014-0.00500)	0.0018 (0.0000-0.00370)	0.0017 (0.0000-0.00320)	0.0019 (0.0001-0.00370)	NA	0.0202 (0.0127-0.0313)	0.0206 (0.0132-0.0331)	0.0219 (0.0146-0.0339)	0.0218 (0.0142-0.0335)	0.0264 (0.0180-0.0391)
G. thurberi 	0.0020 (0.0006-0.00370)	0.0020 (0.0006-0.00390)	0.0023 (0.0009-0.00430)	0.0023 (0.0010-0.00420)	0.0025 (0.0011-0.00470)	0.0023 (0.0010-0.00410)	0.0026 (0.0012-0.00460)	0.0025 (0.0012-0.00440)	NA	0.0064 (0.0023-0.0144)	0.0153 (0.0091-0.0259)	0.0151 (0.0089-0.0252)	0.0229 (0.0152-0.0347)
G. trilobum	0.0021 (0.0007-0.00400)	0.0020 (0.0007-0.00400)	0.0024 (0.0010-0.00450)	0.0024 (0.0010-0.00450)	0.0027 (0.0012-0.00500)	0.0024 (0.0010-0.00440)	0.0027 (0.0012-0.00500)	0.0026 (0.0012-0.00460)	0.0007 (0.0000-0.00190)	NA	0.0162 (0.0094-0.0281)	0.0159 (0.0089-0.0272)	0.0236 (0.0153-0.0367)
