	TEtotal	GS	TEperc
D10.3	373.303	910	0.410223076923077
D10.7	354.127	910	0.389150549450549
D10.8	356.065	910	0.39128021978022
D11.1	368.849	929	0.397038751345533
D1.2	367.1745	841	0.436592746730083
D1.35	349.7325	841	0.415853151010702
D2-1.6	397.5025	856	0.464372079439252
D2-2	355.1385	910	0.390262087912088
D3D.27	368.8745	910	0.405356593406593
D3K.56	346.8595	880	0.394158522727273
D3K.57	383.554	880	0.435856818181818
D4.12	379.9925	919	0.413484766050054
D4.185	357.833	919	0.389372143634385
D5.2	374.3485	880	0.425396022727273
D5.31	339.5325	880	0.385832386363636
D5.4	377.723	880	0.429230681818182
D5.53	306.68	880	0.3485
D5.6	505.0955	880	0.573972159090909
D5.8	357.9095	880	0.406715340909091
D5.ref	350.489	880	0.398282954545455
D6.5	348.1515	841	0.413973246135553
D6.7	394.1875	841	0.468712841854935
D7.157	353.651	934	0.378641327623126
D7.4	385.2625	934	0.412486616702356
D8.8	398.3695	851	0.468119271445358
D8.9	372.2405	851	0.437415393654524
D9.4	395.3775	934	0.423316381156317
