underZero	total_under	overZero	total_over	median	sum
overall	781	528988	623	457322	-35.75	NA
vecD1_2	33	-9010.5	19	4315	-86.25	-4695.5
vecD1_35	33	-7382.5	19	1917.5	-60.75	-5465
vecD10_3	27	-9566	25	7929.5	-20.75	-1636.5
vecD10_7	34	-11053.5	18	5636	-114.25	-5417.5
vecD10_8	32	-10193	20	6020	-75.25	-4173
vecD11_1	30	-6660.5	22	4796	-42.5	-1864.5
vecD2_1_6	35	-6611.5	17	6561.5	-66.5	-50
vecD2_2	30	-9595	22	6932.5	-66.75	-2662.5
vecD3D_27	30	-5666	22	6414	-58.75	748
vecD3K_56	36	-8187	16	13181.5	-90	4994.5
vecD3K_57	22	-3322.5	30	10739.5	11.75	7417
vecD4_12C	29	-5070.5	23	6284	-28.25	1213.5
vecD4_185	29	-7441	23	7039.5	-24	-401.5
vecD5_2	24	-7875.5	28	11122	37.25	3246.5
vecD5_31	19	-7937	33	5113	20	-2824
vecD5_4	31	-11979.5	21	7607	-96.75	-4372.5
vecD5_53	30	-12300	22	6265	-52.25	-6035
vecD5_6	12	-1412.5	40	41091.5	233.75	39679
vecD5_8	37	-10285.5	15	4744.5	-83.25	-5541
vecD5_ref	29	-8526.5	23	3356	-42.25	-5170.5
vecD6_5	30	-5801.5	22	3956	-41.25	-1845.5
vecD6_7	37	-10457.5	15	4745.5	-130.25	-5712
vecD7_157	28	-8632.5	24	8478	-16.5	-154.5
vecD7_4	24	-5436.5	28	6127.5	11.75	691
vecD8_8	23	-3383	29	6515.5	13.25	3132.5
vecD8_9	32	-8635	20	4642.5	-30	-3992.5
vecD9_4	25	-3687.5	27	7057.5	18	3370
