Chr01	Chr02	Chr03	Chr04	Chr05	Chr06	Chr07	Chr08	Chr09	Chr10	Chr11	Chr12	Chr13	allChr
D1.35	19962	18620	15155	17797	15908	17736	20687	20099	21791	18082	19807	12824	17028	235496
D10.7	20010	18917	15379	17648	15872	17925	20298	20143	21695	17908	20043	12880	16880	235598
D11.1	20723	19175	15288	18361	16134	18076	21220	20724	21814	18704	20195	13157	17258	240829
D2.1.6	19106	18074	14615	17122	15397	16842	19580	19284	20689	17370	18868	12156	16322	225425
D2.2	19989	18922	15370	17637	15954	17823	20190	20024	21698	17895	20031	12903	16780	235216
D3D.27	20360	18833	15613	18113	16220	18268	21079	20463	22225	18348	20070	13077	17405	240074
D3K.57	20363	18840	15604	18117	16221	18272	21061	20484	22242	18352	20085	13092	17410	240143
D4.185	20279	18819	15604	18263	16328	17866	21060	20330	22274	18490	19857	12750	17214	239134
D5.8	19353	18002	14799	17176	15374	17293	20018	19524	21272	17380	19115	12440	16560	228306
D6.5	21322	19921	16281	18851	17052	18889	21943	21439	23109	19251	21156	13514	18096	250824
D7.157	20377	19004	15350	18200	16279	17983	20925	20566	22163	18523	20017	12906	17343	239636
D8.8	20130	18753	15326	17880	16111	17912	20781	20272	21946	18187	19897	12930	17173	237298
D9.4	19541	18314	14951	17475	15770	17359	20213	19729	21207	17809	19239	12384	16752	230743
F1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
