Chr01	Chr02	Chr03	Chr04	Chr05	Chr06	Chr07	Chr08	Chr09	Chr10	Chr11	Chr12	Chr13	allChr
D1.2	4562	4366	3318	4110	3737	3978	4564	4396	4712	4126	4575	2940	4017	53401
D1.35	4576	4378	3319	4119	3739	3987	4577	4403	4719	4138	4582	2945	4024	53506
D10.3	4935	4782	3612	4407	3999	4258	4917	4790	5162	4439	4888	3163	4297	57649
D10.7	4913	4770	3613	4399	4002	4251	4917	4783	5158	4438	4898	3161	4284	57587
D10.8	4924	4777	3617	4404	4003	4261	4935	4793	5170	4437	4887	3158	4294	57660
D11.1	5104	4851	3618	4607	4044	4399	5116	4953	5205	4565	5036	3224	4391	59113
D2.1.6	4734	4589	3467	4277	3896	4099	4764	4622	4976	4325	4711	3045	4176	55681
D2.2	4946	4797	3624	4408	4026	4287	4898	4769	5157	4436	4940	3181	4273	57742
D3D.27	5026	4736	3692	4502	4092	4428	5063	4868	5245	4547	4960	3255	4394	58808
D3K.57	5028	4736	3693	4505	4093	4420	5061	4882	5244	4550	4962	3266	4396	58836
D3K.56	5026	4739	3695	4504	4092	4420	5065	4882	5243	4551	4959	3264	4397	58837
D4.12	4919	4685	3546	4465	3990	4285	4938	4777	5169	4464	4888	3108	4305	57539
D4.185	4883	4621	3565	4435	3947	4268	4962	4732	5168	4405	4831	3098	4246	57161
D5.6	4828	4576	3534	4296	3899	4223	4895	4697	5116	4332	4782	3107	4227	56512
D5.8	4828	4576	3534	4299	3899	4221	4894	4697	5115	4333	4778	3107	4228	56509
D5_2	4828	4576	3534	4299	3898	4222	4894	4696	5115	4332	4777	3107	4228	56506
D5_31	4828	4576	3534	4299	3899	4221	4894	4697	5115	4333	4778	3107	4228	56509
D5_ref	4828	4576	3534	4299	3899	4221	4894	4697	5115	4333	4778	3107	4228	56509
D6.5	4609	4407	3346	4125	3773	4023	4596	4455	4752	4176	4613	2967	4060	53902
D6.7	4579	4401	3335	4111	3763	3997	4582	4442	4736	4155	4592	2954	4047	53694
D7.157	4768	4513	3465	4298	3879	4165	4782	4615	4996	4289	4744	3054	4164	55732
D7.4	4745	4503	3442	4275	3847	4145	4756	4591	4956	4274	4710	3013	4150	55407
D8.8	4740	4541	3486	4284	3889	4141	4790	4597	4962	4299	4752	3080	4185	55746
D8.9	4561	4364	3318	4110	3736	3975	4560	4396	4709	4128	4575	2942	4016	53390
D9.4	4838	4644	3540	4377	3966	4223	4850	4690	5048	4411	4795	3088	4242	56712
