	D1-35	D10-7	D11-1	D2-1-6	D2-2	D3-D-27	D3-K-57	D4-185	D5-8	D6-5	D7-157	D8-8	D9-4
OG0033442	augustus_masked-SEQ_109230-processed-gene-0.0-mRNA-1												
OG0033443	genemark-SEQ_99789-processed-gene-0.0-mRNA-1												
OG0033444	genemark-SEQ_116469-processed-gene-0.2-mRNA-1												
OG0033445	maker-SEQ_159499-augustus-gene-0.1-mRNA-1												
OG0033446	genemark-SEQ_167506-processed-gene-0.0-mRNA-1												
OG0033447	genemark-SEQ_243582-processed-gene-0.1-mRNA-1												
OG0033448	genemark-SEQ_226879-processed-gene-0.0-mRNA-1												
OG0033449	genemark-SEQ_282469-processed-gene-0.0-mRNA-1												
OG0033450	augustus_masked-SEQ_309118-processed-gene-0.0-mRNA-1												
OG0033451	genemark-SEQ_349727-processed-gene-0.0-mRNA-1												
OG0033452	maker-SEQ_433214-augustus-gene-0.2-mRNA-1												
OG0033453	genemark-SEQ_422585-processed-gene-0.1-mRNA-1												
OG0033454	augustus_masked-SEQ_504004-processed-gene-0.0-mRNA-1												
OG0033455	genemark-SEQ_467212-processed-gene-0.4-mRNA-1												
OG0033456	maker-SEQ_529544-augustus-gene-0.1-mRNA-1												
OG0033457	maker-SEQ_542024-augustus-gene-0.4-mRNA-1												
OG0033458	genemark-SEQ_590293-processed-gene-0.1-mRNA-1												
OG0033459	augustus_masked-SEQ_604466-processed-gene-0.0-mRNA-1												
OG0033460	maker-SEQ_607421-augustus-gene-0.2-mRNA-1												
OG0033461	maker-SEQ_604488-augustus-gene-0.1-mRNA-1												
OG0033462	maker-SEQ_717396-augustus-gene-0.2-mRNA-1												
OG0033463	maker-SEQ_711689-augustus-gene-0.3-mRNA-1												
OG0033464	genemark-SEQ_761836-processed-gene-0.0-mRNA-1												
OG0033465	genemark-SEQ_784840-processed-gene-0.3-mRNA-1												
OG0033466	genemark-SEQ_793510-processed-gene-0.0-mRNA-1												
OG0033467	augustus_masked-SEQ_827951-processed-gene-0.1-mRNA-1												
OG0033468	genemark-SEQ_844475-processed-gene-0.0-mRNA-1												
OG0033469	genemark-SEQ_937777-processed-gene-0.0-mRNA-1												
OG0033470	maker-SEQ_921770-augustus-gene-0.3-mRNA-1												
OG0033471	maker-SEQ_919890-augustus-gene-0.2-mRNA-1												
OG0033472	maker-SEQ_998108-augustus-gene-0.2-mRNA-1												
OG0033473	augustus_masked-SEQ_948687-processed-gene-0.0-mRNA-1												
OG0033474	augustus_masked-SEQ_1033570-processed-gene-0.2-mRNA-1												
OG0033475	maker-SEQ_1059697-augustus-gene-0.3-mRNA-1												
OG0033476	genemark-SEQ_1045760-processed-gene-0.0-mRNA-1												
OG0033477	augustus_masked-SEQ_1136362-processed-gene-0.0-mRNA-1												
OG0033478	genemark-SEQ_1137034-processed-gene-0.0-mRNA-1												
OG0033479	genemark-SEQ_1088429-processed-gene-0.2-mRNA-1												
OG0033480	augustus_masked-SEQ_1135535-processed-gene-0.0-mRNA-1												
OG0033481	genemark-SEQ_1155808-processed-gene-0.0-mRNA-1												
OG0033482	maker-SEQ_1087815-augustus-gene-0.2-mRNA-1												
OG0033483	genemark-SEQ_1225988-processed-gene-0.0-mRNA-1												
OG0033484	genemark-SEQ_1190464-processed-gene-0.2-mRNA-1												
OG0033485	genemark-SEQ_1191129-processed-gene-0.0-mRNA-1												
OG0033486	genemark-SEQ_1279871-processed-gene-0.1-mRNA-1												
OG0033487	genemark-SEQ_1238880-processed-gene-0.0-mRNA-1												
OG0033488	genemark-SEQ_1256564-processed-gene-0.0-mRNA-1												
OG0033489	maker-SEQ_1266921-augustus-gene-0.2-mRNA-1												
OG0033490	genemark-SEQ_1432435-processed-gene-0.0-mRNA-1												
OG0033491	maker-SEQ_1452029-augustus-gene-0.3-mRNA-1												
OG0033492	augustus_masked-SEQ_1474728-processed-gene-0.1-mRNA-1												
OG0033493	maker-SEQ_1489445-augustus-gene-0.2-mRNA-1												
OG0033494	genemark-SEQ_1582890-processed-gene-0.0-mRNA-1												
OG0033495	augustus_masked-SEQ_1588722-processed-gene-0.1-mRNA-1												
OG0033496	genemark-SEQ_1553575-processed-gene-0.2-mRNA-1												
