Chr01	Chr02	Chr03	Chr04	Chr05	Chr06	Chr07	Chr08	Chr09	Chr10	Chr11	Chr12	Chr13	allChr
D1.35	7557	6885	5603	6780	5467	7158	8048	7998	9142	6595	7402	4497	6164	89296
D10.7	7218	7276	5702	6464	5332	6756	7121	7533	8114	6459	7678	4700	5764	86117
D11.1	8594	8217	5698	8012	6189	7401	8762	8820	8347	8166	7902	5295	6283	97686
D2.1.6	5270	5480	4100	5108	4258	4571	5636	5715	6402	5090	5072	3126	4286	64114
D2.2	7188	7422	5749	6390	5650	6743	6967	7201	8130	6344	7695	4765	5515	85759
D3D.27	8355	7741	6417	7608	6405	7854	9038	8977	9836	7622	8207	5286	7073	100419
D3K.57	8320	7782	6395	7627	6413	7870	9012	9014	9811	7622	8300	5250	7067	100483
D4.185	7630	7652	6352	7838	6661	6930	8664	8049	9220	7758	7386	4540	6301	94981
D5.8	5881	5524	4424	5326	4209	5452	6457	6391	7412	5132	5623	3543	4587	69961
D6.5	8993	8792	6880	8277	7203	8300	9820	9649	10641	8268	9039	5755	7651	109268
D7.157	7871	8227	5988	7999	6734	7043	8386	8393	9231	7968	7764	4874	6762	97240
D8.8	7736	7045	5874	6903	5703	7280	8375	8145	9436	6801	7584	4726	6376	91984
D9.4	6293	6587	5205	6302	5508	5794	6932	6822	7340	6364	6093	3804	5495	78539
F1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
