Chr01	Chr02	Chr03	Chr04	Chr05	Chr06	Chr07	Chr08	Chr09	Chr10	Chr11	Chr12	Chr13	allChr
D1.2	1623	1454	1203	1480	1316	1378	1716	1689	1910	1476	1556	1066	1383	19250
D1.35	1668	1482	1212	1523	1325	1418	1764	1718	1943	1520	1594	1085	1418	19670
D10.3	3329	3482	2601	3234	2785	2610	3248	3355	3652	3052	3296	2049	2905	39598
D10.7	3265	3432	2608	3217	2793	2627	3265	3351	3638	3048	3349	2028	2891	39512
D10.8	3316	3468	2620	3213	2803	2620	3304	3375	3667	3044	3305	2032	2925	39692
D11.1	4006	3899	2602	3998	3215	3373	4058	4051	3807	3993	3844	2522	3059	46427
D2.1.6	2534	2673	1957	2598	2312	1985	2672	2722	3016	2591	2392	1558	2252	31262
D2.2	3319	3513	2631	3212	2900	2747	3184	3358	3659	3033	3458	2179	2803	39996
D3D.27	3655	3397	2753	3333	3040	3266	3772	3775	3956	3571	3553	2388	3163	43622
D3K.57	3661	3414	2749	3348	3031	3247	3767	3808	3970	3579	3598	2381	3162	43715
D3K.56	3664	3440	2757	3350	3033	3252	3778	3808	3969	3582	3597	2385	3166	43781
D4.12	3287	3255	2469	3388	2980	2902	3378	3519	3686	3259	3185	1919	2841	40068
D4.185	3045	2902	2471	3082	2655	2686	3459	3202	3683	2968	2855	1825	2439	37272
D5.6	16	1	29	18	23	16	22	11	8	35	34	11	4	228
D5.8	2	0	2	0	1	1	2	1	1	1	0	8	1	20
D5_2	30	5	10	13	29	10	13	15	11	7	43	9	19	214
D5_31	2	0	2	0	1	1	2	1	1	1	0	5	1	17
D5_ref	2	0	2	0	1	1	2	1	1	1	0	5	1	17
D6.5	1934	1749	1423	1789	1636	1699	2019	2021	2274	1742	1875	1244	1642	23047
D6.7	1859	1693	1388	1738	1562	1610	1951	1970	2202	1668	1792	1203	1586	22222
D7.157	2540	2311	1915	2440	2152	2257	2699	2617	2955	2377	2493	1620	2116	30492
D7.4	2421	2281	1845	2283	2072	2184	2623	2554	2849	2304	2380	1469	2045	29310
D8.8	2520	2274	1873	2321	2012	2080	2661	2509	2947	2301	2380	1615	2194	29687
D8.9	1624	1452	1200	1475	1315	1378	1703	1691	1911	1478	1553	1071	1379	19230
D9.4	2923	3025	2357	2999	2804	2610	3146	3123	3371	3077	2912	1798	2660	36805
