Chr01	Chr02	Chr03	Chr04	Chr05	Chr06	Chr07	Chr08	Chr09	Chr10	Chr11	Chr12	Chr13	allChr
D1.2	1314	929	832	989	817	981	1201	1243	1480	955	1053	718	925	13437
D1.35	1345	954	842	1022	822	1011	1238	1265	1505	987	1079	731	953	13754
D10.3	2602	2382	1848	2215	1829	1947	2372	2513	2861	2101	2340	1450	2040	28500
D10.7	2529	2350	1858	2197	1831	1955	2395	2499	2853	2097	2381	1434	2024	28403
D10.8	2589	2379	1874	2197	1837	1955	2423	2525	2880	2088	2356	1449	2048	28600
D11.1	3142	2671	1843	2785	2095	2494	2999	3034	2972	2690	2694	1833	2180	33432
D2.1.6	1983	1816	1360	1765	1487	1462	1922	2016	2336	1752	1664	1077	1541	22181
D2.2	2607	2433	1863	2204	1910	2039	2346	2507	2869	2079	2437	1556	1970	28820
D3D.27	2867	2337	1951	2348	2016	2412	2800	2809	3057	2440	2532	1750	2248	31567
D3K.57	2848	2335	1960	2355	2015	2394	2802	2845	3069	2445	2567	1737	2241	31613
D3K.56	2857	2353	1967	2357	2021	2397	2809	2847	3071	2451	2564	1742	2246	31682
D4.12	2570	2204	1747	2375	1953	2116	2470	2629	2888	2178	2242	1398	1994	28764
D4.185	2414	1993	1769	2176	1772	1966	2564	2381	2874	2005	2041	1318	1719	26992
D5.6	228	9	26	17	17	21	23	15	15	29	30	13	10	453
D5.8	221	8	6	4	2	8	7	7	10	7	7	12	6	305
D5_31	221	8	6	4	2	8	7	7	10	7	7	9	7	303
D5_ref	221	8	6	4	2	8	7	7	10	7	7	9	6	302
D6.5	1525	1109	977	1178	1032	1199	1410	1501	1741	1129	1248	833	1084	15966
D6.7	1467	1078	950	1144	984	1141	1363	1450	1679	1076	1186	795	1044	15357
D7.157	2010	1562	1348	1718	1416	1625	1960	1943	2335	1571	1742	1159	1475	21864
D7.4	1933	1546	1297	1596	1362	1577	1906	1898	2250	1517	1659	1048	1423	21012
D8.8	1951	1513	1330	1599	1301	1500	1938	1876	2279	1542	1664	1156	1540	21189
D8.9	1309	927	831	989	814	983	1193	1246	1480	957	1053	717	923	13422
D9.4	2310	2058	1680	2090	1820	1868	2261	2312	2623	2089	1987	1263	1853	26214
