Chr01	Chr02	Chr03	Chr04	Chr05	Chr06	Chr07	Chr08	Chr09	Chr10	Chr11	Chr12	Chr13	allChr
D1.2	578	489	444	501	442	524	675	621	754	547	537	370	507	6989
D1.35	607	503	454	530	448	553	710	640	782	575	566	384	531	7283
D10.3	1814	1956	1460	1832	1566	1390	1769	1809	1964	1728	1851	1100	1649	21888
D10.7	1778	1926	1470	1823	1571	1407	1786	1813	1952	1726	1894	1083	1650	21879
D10.8	1816	1949	1477	1813	1580	1394	1807	1816	1975	1719	1863	1088	1675	21972
D11.1	2277	2289	1483	2350	1898	1963	2295	2296	2054	2447	2217	1467	1706	26742
D2.1.6	1251	1400	1010	1367	1211	951	1363	1359	1544	1379	1188	742	1147	15912
D2.2	1794	1981	1492	1799	1654	1489	1736	1825	1972	1706	1950	1198	1575	22171
D3D.27	2099	1946	1573	1909	1758	1917	2204	2195	2247	2122	2086	1352	1853	25261
D3K.57	2097	1962	1568	1920	1748	1905	2201	2216	2265	2125	2130	1335	1850	25322
D3K.56	2106	1976	1573	1924	1752	1911	2207	2217	2265	2128	2129	1342	1854	25384
D4.12	1778	1847	1437	1917	1730	1632	1866	1974	1982	1894	1770	1009	1575	22411
D4.185	1599	1592	1409	1679	1489	1461	1921	1723	1989	1668	1518	931	1283	20262
D5.6	10	0	15	12	14	7	11	8	5	22	24	5	3	136
D5.8	0	0	0	0	0	0	0	0	0	0	0	2	1	3
D5_2	21	3	3	9	15	5	5	9	5	5	34	3	11	128
D5_31	0	0	0	0	0	0	0	0	0	0	0	1	1	2
D5_ref	0	0	0	0	0	0	0	0	0	0	0	1	1	2
D6.5	760	648	580	690	631	686	838	813	975	680	738	493	648	9180
D6.7	720	610	561	659	579	641	791	776	926	646	684	468	612	8673
D7.157	1236	1146	993	1230	1105	1147	1376	1291	1477	1241	1262	793	1055	15352
D7.4	1152	1130	950	1108	1063	1104	1337	1252	1415	1188	1193	689	1003	14584
D8.8	1251	1059	901	1101	925	1018	1338	1197	1491	1124	1118	749	1095	14367
D8.9	576	489	442	496	443	525	669	621	756	547	534	373	503	6974
D9.4	1527	1693	1329	1657	1629	1417	1721	1690	1807	1777	1589	930	1498	20264
