	D1-35	D10-7	D11-1	D2-1-6	D2-2	D3-D-27	D3-K-57	D4-185	D5-8	D6-5	D7-157	D8-8	D9-4
maker-SEQ_65022-augustus-gene-0.2-mRNA-1	maker-SEQ_621694-augustus-gene-0.20-mRNA-1	maker-SEQ_1391774-augustus-gene-0.2-mRNA-1	maker-SEQ_3458161-augustus-gene-0.2-mRNA-1	maker-SEQ_236571-augustus-gene-0.2-mRNA-1	maker-SEQ_186314-augustus-gene-0.2-mRNA-1	maker-SEQ_745919-augustus-gene-0.2-mRNA-1	maker-SEQ_1581866-augustus-gene-0.2-mRNA-1	maker-SEQ_4582382-augustus-gene-0.2-mRNA-1	maker-SEQ_652483-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_3219668-processed-gene-0.2-mRNA-1	maker-SEQ_901096-augustus-gene-0.2-mRNA-1	maker-SEQ_3531486-augustus-gene-0.2-mRNA-1
augustus_masked-SEQ_41831-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_611710-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_1584719-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3448270-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2182148-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_6041-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_110084-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3113881-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1484447-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1553476-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3188916-processed-gene-0.8-mRNA-1	augustus_masked-SEQ_1477879-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3568230-processed-gene-0.1-mRNA-1
augustus_masked-SEQ_21906-processed-gene-0.0-mRNA-1	maker-SEQ_597827-augustus-gene-0.39-mRNA-1	augustus_masked-SEQ_1774419-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_1494995-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2571963-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1541121-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1012210-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3111886-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2648286-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_496090-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1874613-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1474952-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_990129-processed-gene-0.0-mRNA-1
genemark-SEQ_56335-processed-gene-0.1-mRNA-1	maker-SEQ_615881-augustus-gene-0.28-mRNA-1	genemark-SEQ_1731798-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3506328-processed-gene-0.0-mRNA-1	genemark-SEQ_2560343-processed-gene-0.0-mRNA-1	maker-SEQ_547040-augustus-gene-0.2-mRNA-1	maker-SEQ_753825-augustus-gene-0.2-mRNA-1	genemark-SEQ_3065354-processed-gene-0.3-mRNA-1	genemark-SEQ_2677431-processed-gene-0.1-mRNA-1	genemark-SEQ_1620909-processed-gene-0.0-mRNA-1	genemark-SEQ_3164723-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1513588-processed-gene-0.1-mRNA-1	maker-SEQ_3531944-augustus-gene-0.2-mRNA-1
maker-SEQ_26980-augustus-gene-0.2-mRNA-1	maker-SEQ_621496-augustus-gene-0.18-mRNA-1	maker-SEQ_1727969-augustus-gene-0.4-mRNA-1	maker-SEQ_3453244-augustus-gene-0.2-mRNA-1	maker-SEQ_2585440-augustus-gene-0.5-mRNA-1	maker-SEQ_1461834-augustus-gene-0.4-mRNA-1	maker-SEQ_1567531-augustus-gene-0.4-mRNA-1	maker-SEQ_3105746-augustus-gene-0.4-mRNA-1	maker-SEQ_883429-augustus-gene-0.2-mRNA-1	maker-SEQ_354046-augustus-gene-0.2-mRNA-1	maker-SEQ_3142625-augustus-gene-0.5-mRNA-1	maker-SEQ_1472021-augustus-gene-0.2-mRNA-1	maker-SEQ_815892-augustus-gene-0.2-mRNA-1
augustus_masked-SEQ_35408-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_616200-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1625167-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3515889-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2563876-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_109169-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_147174-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3034059-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2421072-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_772099-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3179703-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_513429-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_138806-processed-gene-0.0-mRNA-1
augustus_masked-SEQ_7827-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_617189-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1737382-processed-gene-0.2-mRNA-1	genemark-SEQ_1276753-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_2502966-processed-gene-0.2-mRNA-1	genemark-SEQ_1567166-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1185289-processed-gene-0.0-mRNA-1	genemark-SEQ_1767415-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_805459-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1600819-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_1010256-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1526502-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3622941-processed-gene-0.0-mRNA-1
augustus_masked-SEQ_52300-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_583879-processed-gene-0.0-mRNA-1	maker-SEQ_1717929-augustus-gene-0.3-mRNA-1	maker-SEQ_3441493-augustus-gene-0.2-mRNA-1	maker-SEQ_2570600-augustus-gene-0.6-mRNA-1	maker-SEQ_1598529-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_1599642-processed-gene-0.0-mRNA-1	maker-SEQ_2916040-augustus-gene-0.2-mRNA-1	maker-SEQ_2759579-augustus-gene-0.2-mRNA-1	maker-SEQ_1607545-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_721048-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1480178-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3570176-processed-gene-0.0-mRNA-1
maker-SEQ_36757-augustus-gene-0.4-mRNA-1	maker-SEQ_616012-augustus-gene-0.23-mRNA-1	maker-SEQ_1740034-augustus-gene-0.5-mRNA-1	maker-SEQ_3491652-augustus-gene-0.4-mRNA-1	maker-SEQ_2574651-augustus-gene-0.2-mRNA-1	maker-SEQ_1565430-augustus-gene-0.10-mRNA-1	maker-SEQ_1636643-augustus-gene-0.7-mRNA-1	maker-SEQ_1840955-augustus-gene-0.4-mRNA-1	maker-SEQ_4174496-augustus-gene-0.2-mRNA-1	maker-SEQ_1643031-augustus-gene-0.5-mRNA-1	maker-SEQ_1660918-augustus-gene-0.4-mRNA-1	maker-SEQ_1481394-augustus-gene-0.9-mRNA-1	maker-SEQ_3623356-augustus-gene-0.5-mRNA-1
maker-SEQ_1164-augustus-gene-0.4-mRNA-1	maker-SEQ_580883-augustus-gene-0.17-mRNA-1	maker-SEQ_1763804-augustus-gene-0.5-mRNA-1	maker-SEQ_3528927-augustus-gene-0.5-mRNA-1	maker-SEQ_2372055-augustus-gene-0.5-mRNA-1	maker-SEQ_1547075-augustus-gene-0.4-mRNA-1	maker-SEQ_949672-augustus-gene-0.4-mRNA-1	maker-SEQ_3036196-augustus-gene-0.4-mRNA-1	maker-SEQ_4587753-augustus-gene-0.5-mRNA-1	maker-SEQ_114626-augustus-gene-0.5-mRNA-1	maker-SEQ_3189183-augustus-gene-0.6-mRNA-1	maker-SEQ_1477151-augustus-gene-0.5-mRNA-1	maker-SEQ_3575218-augustus-gene-0.5-mRNA-1
