Chr01	Chr02	Chr03	Chr04	Chr05	Chr06	Chr07	Chr08	Chr09	Chr10	Chr11	Chr12	Chr13	allChr
D1.35	11107	10223	8297	9991	8088	10450	12084	11840	13628	9886	10880	6776	9065	132315
D10.7	10816	10911	8620	9526	7917	10237	10768	11419	12504	9576	11392	7035	8517	129238
D11.1	12905	12110	8525	11787	9036	11033	13331	13287	12856	12079	11768	7907	9414	146038
D2.1.6	7964	8272	6254	7644	6368	6969	8565	8742	9786	7669	7611	4737	6481	97062
D2.2	10765	11062	8658	9441	8317	10122	10506	10968	12523	9448	11397	7123	8168	128498
D3D.27	12303	11292	9569	11135	9338	11678	13466	13183	14756	11179	11948	7818	10351	148016
D3K.57	12271	11340	9538	11158	9347	11698	13422	13241	14748	11183	12056	7797	10350	148149
D4.185	11497	11189	9495	11515	9702	10352	13073	12122	14189	11457	10914	6745	9388	141638
D5.8	8822	8244	6762	7916	6296	8301	9824	9658	11379	7721	8409	5438	7020	105790
D6.5	13903	13431	10700	12542	10968	12745	15112	14831	16445	12728	13866	8724	11620	167615
D7.157	11836	11949	8877	11613	9726	10582	12660	12702	14089	11700	11452	7235	9978	144399
D8.8	11454	10516	8739	10197	8527	10748	12505	12160	14077	10197	11152	7111	9422	136805
D9.4	9422	9619	7695	9191	7991	8709	10494	10294	11242	9382	9003	5643	8120	116805
F1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
