Chr01	Chr02	Chr03	Chr04	Chr05	Chr06	Chr07	Chr08	Chr09	Chr10	Chr11	Chr12	Chr13	allChr
D1.35	11826	11213	8668	11294	8765	11516	13267	13064	15202	10769	11740	7690	9858	144872
D10.7	13345	13753	10909	10912	9082	12834	12688	14040	15865	10275	14172	8545	10184	156604
D11.1	16098	14050	9794	14664	9652	13116	16792	17404	16102	13958	14477	9014	10970	176091
D2.1.6	9192	9940	7862	9182	6855	8249	9660	11008	11880	8171	8415	5197	7317	112928
D2.2	12555	12211	10515	10789	9348	12013	11815	13010	14921	9944	13336	8266	9638	148361
D3D.27	13736	11433	10842	11587	9560	13115	15219	13987	16999	11924	12854	8170	11727	161153
D3K.57	13574	11244	10844	11628	9616	13062	15381	14251	17421	12163	12991	8184	11621	161980
D4.185	13002	12367	10791	13157	9965	11724	14657	14395	16911	12734	12188	7240	9901	159032
D5.8	6970	6554	5645	6557	4998	7188	7862	8053	10358	5892	6553	4598	5758	86986
D6.5	21001	19376	16102	18317	17042	20145	21632	23519	26526	18523	22048	12156	16757	253144
D7.157	13909	13355	10159	12851	9894	12268	14029	15464	16486	12799	12933	8106	10749	163002
D8.8	12310	11502	9849	11340	9404	12296	13506	13757	16027	11751	11482	8222	10104	151550
D9.4	9772	10560	8166	9963	8003	10118	11479	12074	13341	9677	9390	5495	8996	127034
F1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
