Chr01	Chr02	Chr03	Chr04	Chr05	Chr06	Chr07	Chr08	Chr09	Chr10	Chr11	Chr12	Chr13	allChr
D1.2	3447	3274	2543	3131	2787	3067	3738	3624	4008	3117	3557	2336	3074	41703
D1.35	3472	3284	2556	3153	2792	3092	3769	3639	4034	3138	3575	2348	3092	41944
D10.3	4417	4341	3312	4124	3592	3754	4611	4592	4994	3959	4536	2914	3919	53065
D10.7	4398	4323	3317	4114	3592	3758	4630	4592	4984	3957	4579	2908	3918	53070
D10.8	4423	4328	3325	4108	3602	3755	4644	4596	5007	3952	4552	2912	3936	53140
D11.1	4778	4616	3344	4510	3839	4157	5037	4946	5054	4453	4791	3196	3977	56698
D2.1.6	3982	3931	2960	3743	3315	3398	4291	4197	4642	3703	4041	2633	3531	48367
D2.2	4404	4371	3343	4092	3662	3828	4594	4596	5006	3943	4611	3015	3860	53325
D3D.27	4717	4416	3456	4238	3812	4219	5031	4947	5286	4326	4816	3145	4155	56564
D3K.57	4702	4423	3453	4247	3795	4216	5034	4976	5301	4339	4851	3131	4147	56615
D3K.56	4711	4435	3457	4249	3798	4219	5040	4977	5301	4337	4846	3136	4149	56655
D4.12	4378	4245	3314	4194	3712	3896	4685	4647	5023	4050	4487	2834	3866	53331
D4.185	4242	4103	3307	4033	3567	3786	4726	4484	5021	3910	4328	2781	3666	51954
D5.6	4043	3783	2941	3646	3192	3546	4315	4260	4755	3552	4123	2717	3510	48383
D5.8	4039	3784	2940	3643	3188	3544	4313	4255	4752	3542	4109	2713	3510	48332
D5_2	4039	3782	2939	3643	3184	3542	4312	4253	4750	3545	4113	2712	3508	48322
D5_31	4039	3784	2940	3643	3188	3544	4313	4255	4752	3542	4109	2714	3510	48333
D5_ref	4039	3784	2940	3643	3188	3544	4313	4255	4752	3542	4109	2714	3510	48333
D6.5	3525	3349	2617	3211	2874	3136	3815	3737	4144	3155	3662	2423	3135	42783
D6.7	3496	3322	2606	3190	2843	3104	3778	3702	4106	3136	3616	2400	3106	42405
D7.157	3968	3764	2976	3698	3282	3529	4306	4144	4609	3590	4110	2665	3487	48128
D7.4	3898	3753	2945	3604	3251	3497	4279	4112	4558	3552	4057	2594	3449	47549
D8.8	3977	3698	2896	3591	3139	3450	4277	4100	4638	3525	4010	2657	3520	47478
D8.9	3446	3274	2542	3129	2787	3066	3731	3622	4012	3115	3558	2335	3069	41686
D9.4	4172	4135	3236	3978	3629	3715	4559	4439	4859	3965	4325	2758	3808	51578
