Chr01	Chr02	Chr03	Chr04	Chr05	Chr06	Chr07	Chr08	Chr09	Chr10	Chr11	Chr12	Chr13	allChr
D1.2	-17337	-16760	-13447	-15602	-12937	-15658	-19355	-18740	-21594	-15492	-17395	-11970	-16194	-212481
D1.35	-17458	-16780	-13649	-15741	-12970	-15811	-19548	-18888	-21767	-15624	-17692	-12067	-16407	-214402
D10.3	-24105	-22926	-18455	-21712	-17543	-20663	-25799	-25381	-29307	-20813	-23737	-15855	-21852	-288148
D10.7	-24104	-22420	-18469	-21528	-17578	-20768	-25981	-25338	-29331	-20790	-24079	-15889	-21683	-287958
D10.8	-24654	-22611	-18404	-21616	-17587	-20726	-26149	-25462	-29231	-20767	-23700	-16075	-21650	-288632
D11.1	-25396	-25061	-18873	-23175	-19280	-22468	-26801	-26622	-28624	-22850	-24342	-17022	-21404	-301918
D2.1.6	-21330	-20365	-15689	-19479	-16197	-18056	-23345	-22389	-26467	-18837	-20855	-13992	-19517	-256518
D2.2	-23731	-22673	-18580	-21342	-17902	-21345	-25445	-25690	-29369	-20578	-24296	-16851	-21384	-289186
D3D.27	-26510	-24448	-19194	-23266	-19661	-25381	-29351	-28601	-31498	-23727	-26495	-18722	-23999	-320853
D3K.57	-26536	-24549	-19162	-23310	-19484	-25220	-29442	-28759	-31937	-23997	-26544	-18724	-23895	-321559
D3K.56	-26551	-24679	-19331	-23317	-19421	-25232	-29369	-28788	-31940	-23983	-26538	-18720	-23826	-321695
D4.12	-22492	-21834	-17666	-21751	-18055	-20653	-24777	-25302	-27852	-20687	-23512	-14425	-20541	-279547
D4.185	-21946	-21578	-17894	-20419	-17006	-20047	-24595	-23516	-27970	-20123	-22392	-14611	-19760	-271857
D5.6	-19241	-18082	-13983	-16733	-13582	-17209	-20691	-20245	-23695	-16283	-18859	-12886	-16571	-228060
D5.8	-19203	-18083	-13999	-16715	-13572	-17015	-20540	-20159	-23692	-16234	-18791	-12881	-16570	-227454
D5_2	-19219	-18081	-13999	-16716	-13569	-17013	-20539	-20175	-23689	-16235	-18794	-12867	-16569	-227465
D5_31	-19203	-18083	-13999	-16715	-13572	-17015	-20540	-20159	-23692	-16234	-18791	-12869	-16570	-227442
D5_ref	-19203	-18083	-13999	-16715	-13572	-17015	-20540	-20159	-23692	-16234	-18791	-12869	-16570	-227442
D6.5	-18308	-17958	-14416	-16430	-13980	-17010	-20390	-20418	-23337	-16353	-18521	-12961	-17159	-227241
D6.7	-18145	-17800	-14266	-16428	-13744	-16540	-20104	-20169	-23041	-16240	-18303	-12899	-16914	-224593
D7.157	-20268	-19498	-16044	-18372	-15985	-18413	-22287	-21859	-25536	-18269	-21121	-14056	-18405	-250113
D7.4	-19719	-19393	-15543	-18110	-15692	-18151	-22253	-21512	-25102	-17961	-20538	-13491	-18137	-245602
D8.8	-22172	-20242	-15955	-18834	-15414	-18888	-23256	-22481	-26498	-18519	-21147	-14817	-19489	-257712
D8.9	-17202	-16611	-13377	-15293	-12736	-15587	-19028	-18570	-21583	-15310	-17381	-11931	-15944	-210553
D9.4	-21521	-21561	-17526	-20046	-17775	-19417	-24088	-23632	-26979	-20309	-21794	-14277	-20007	-268932
