Chr01	Chr02	Chr03	Chr04	Chr05	Chr06	Chr07	Chr08	Chr09	Chr10	Chr11	Chr12	Chr13	allChr
D1.35	20339	18725	15387	18185	15426	18808	21752	21196	24227	17821	20462	12961	17453	242742
D10.7	20000	19116	15486	17869	15291	18406	20825	20731	23199	17685	20738	13164	17053	239563
D11.1	21376	20057	15482	19417	16148	19051	22466	22018	23432	19392	20962	13759	17572	251132
D2.1.6	18052	17320	13884	16513	14217	16221	19340	18913	21487	16316	18132	11590	15575	217560
D2.2	19970	19262	15533	17795	15609	18393	20671	20399	23215	17570	20755	13229	16804	239205
D3D.27	21137	19581	16201	19013	16364	19504	22742	22175	24921	18848	21267	13750	18362	253865
D3K.57	21102	19622	16179	19032	16372	19520	22716	22212	24896	18848	21360	13714	18356	253929
D4.185	20412	19492	16136	19243	16620	18580	22368	21247	24305	18984	20446	13004	17590	248427
D5.8	18663	17364	14208	16731	14168	17102	20161	19589	22497	16358	18683	12007	15876	223407
D6.5	21775	20632	16664	19682	17162	19950	23524	22847	25726	19494	22099	14219	18940	262714
D7.157	20653	20067	15772	19404	16693	18693	22090	21591	24316	19194	20824	13338	18051	250686
D8.8	20518	18885	15658	18308	15662	18930	22079	21343	24521	18027	20644	13190	17665	245430
D9.4	19075	18427	14989	17707	15467	17444	20636	20020	22425	17590	19153	12268	16784	231985
F1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
