Chr01	Chr02	Chr03	Chr04	Chr05	Chr06	Chr07	Chr08	Chr09	Chr10	Chr11	Chr12	Chr13	allChr
D1.2	23206	21673	16458	21109	18282	19953	23965	23182	24293	20523	22690	15703	20634	271671
D1.35	23297	21751	16465	21205	18295	19959	24037	23227	24327	20606	22685	15749	20647	272250
D10.3	24659	23171	17486	22199	19295	20945	25386	24611	25885	21372	23738	16835	22171	287753
D10.7	24681	23133	17443	22087	19295	20837	25150	24665	25860	21389	23994	16572	21913	287019
D10.8	24525	23158	17481	22216	19368	21021	25303	24647	25830	21348	23630	16840	22030	287397
D11.1	25278	23331	17318	23625	19377	21557	26389	25631	26287	21936	24396	16893	22068	294086
D2.1.6	23735	22409	16964	21783	18606	20236	24836	23914	25134	21132	23173	16138	21276	279336
D2.2	24655	23042	17620	22139	19324	21038	25097	24706	25632	21300	24136	16767	21925	287381
D3D.27	24992	22851	17701	22473	19445	21861	25597	24755	26338	22090	23961	16982	21959	291005
D3K.57	24990	22793	17727	22511	19413	21834	25561	24784	26330	22115	23903	17072	22077	291110
D3K.56	24997	22831	17738	22447	19406	21894	25540	24880	26339	22038	23894	17039	22076	291119
D4.12	24255	22768	17258	22187	19070	20886	25335	24227	25899	21640	23754	16368	21626	285273
D4.185	24217	22246	17278	22170	18928	20752	25192	24210	25803	21459	23520	16243	21229	283247
D5.6	23481	21920	16776	21238	18424	20260	24568	23680	25083	20729	22876	15996	20961	275992
D5.8	23481	21920	16771	21243	18397	20256	24566	23681	25082	20726	22838	15996	20965	275922
D5_2	23481	21920	16767	21243	18395	20257	24566	23680	25082	20725	22836	15996	20962	275910
D5_31	23481	21920	16771	21243	18397	20256	24566	23681	25082	20726	22838	15996	20965	275922
D5_ref	23481	21920	16771	21243	18397	20256	24566	23681	25082	20726	22838	15996	20965	275922
D6.5	23576	21923	16806	21405	18613	20557	24257	23749	24737	20758	22954	16133	21125	276593
D6.7	23214	21881	16631	21254	18587	20195	24300	23687	24654	20681	22920	15897	21096	274997
D7.157	23693	21932	16837	21629	18502	20364	24361	23890	25137	20940	23198	16204	21086	277773
D7.4	23475	21824	16659	21512	18377	20266	24306	23604	24902	20803	22816	15867	20904	275315
D8.8	23900	22206	17044	21973	18801	20620	25080	23964	25611	21387	23406	16556	21313	281861
D8.9	23150	21607	16459	21102	18112	19983	23935	23170	24314	20540	22665	15709	20629	271375
D9.4	23894	22433	17077	21897	19051	20662	24760	24037	25444	21420	23152	16110	21368	281305
