Chr01	Chr02	Chr03	Chr04	Chr05	Chr06	Chr07	Chr08	Chr09	Chr10	Chr11	Chr12	Chr13	allChr
D1.35	40301	37345	30542	35982	31334	36544	42439	41295	46018	35903	40269	25785	34481	478238
D10.7	40010	38033	30865	35517	31163	36331	41123	40874	44894	35593	40781	26044	33933	475161
D11.1	42099	39232	30770	37778	32282	37127	43686	42742	45246	38096	41157	26916	34830	491961
D2.1.6	37158	35394	28499	33635	29614	33063	38920	38197	42176	33686	37000	23746	31897	442985
D2.2	39959	38184	30903	35432	31563	36216	40861	40423	44913	35465	40786	26132	33584	474421
D3D.27	41497	38414	31814	37126	32584	37772	43821	42638	47146	37196	41337	26827	35767	493939
D3K.57	41465	38462	31783	37149	32593	37792	43777	42696	47138	37200	41445	26806	35766	494072
D4.185	40691	38311	31740	37506	32948	36446	43428	41577	46579	37474	40303	25754	34804	487561
D5.8	38016	35366	29007	33907	29542	34395	40179	39113	43769	33738	37798	24447	32436	451713
D6.5	43097	40553	32945	38533	34214	38839	45467	44286	48835	38745	43255	27733	37036	513538
D7.157	41030	39071	31122	37604	32972	36676	43015	42157	46479	37717	40841	26244	35394	490322
D8.8	40648	37638	30984	36188	31773	36842	42860	41615	46467	36214	40541	26120	34838	482728
D9.4	38616	36741	29940	35182	31237	34803	40849	39749	43632	35399	38392	24652	33536	462728
F1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
