Chr01	Chr02	Chr03	Chr04	Chr05	Chr06	Chr07	Chr08	Chr09	Chr10	Chr11	Chr12	Chr13	allChr
D1.2	5869	4913	3011	5507	5345	4295	4610	4442	2699	5031	5295	3733	4440	59190
D1.35	5839	4971	2816	5464	5325	4148	4489	4339	2560	4982	4993	3682	4240	57848
D10.3	554	245	-969	487	1752	282	-413	-770	-3422	559	1	980	319	-395
D10.7	577	713	-1026	559	1717	69	-831	-673	-3471	599	-85	683	230	-939
D10.8	-129	547	-923	600	1781	295	-846	-815	-3401	581	-70	765	380	-1235
D11.1	-118	-1730	-1555	450	97	-911	-412	-991	-2337	-914	54	-129	664	-7832
D2.1.6	2405	2044	1275	2304	2409	2180	1491	1525	-1333	2295	2318	2146	1759	22818
D2.2	924	369	-960	797	1422	-307	-348	-984	-3737	722	-160	-84	541	-1805
D3D.27	-1518	-1597	-1493	-793	-216	-3520	-3754	-3846	-5160	-1637	-2534	-1740	-2040	-29848
D3K.57	-1546	-1756	-1435	-799	-71	-3386	-3881	-3975	-5607	-1882	-2641	-1652	-1818	-30449
D3K.56	-1554	-1848	-1593	-870	-15	-3338	-3829	-3908	-5601	-1945	-2644	-1681	-1750	-30576
D4.12	1763	934	-408	436	1015	233	558	-1075	-1953	953	242	1943	1085	5726
D4.185	2271	668	-616	1751	1922	705	597	694	-2167	1336	1128	1632	1469	11390
D5.6	4240	3838	2793	4505	4842	3051	3877	3435	1388	4446	4017	3110	4390	47932
D5.8	4278	3837	2772	4528	4825	3241	4026	3522	1390	4492	4047	3115	4395	48468
D5_2	4262	3839	2768	4527	4826	3244	4027	3505	1393	4490	4042	3129	4393	48445
D5_31	4278	3837	2772	4528	4825	3241	4026	3522	1390	4492	4047	3127	4395	48480
D5_ref	4278	3837	2772	4528	4825	3241	4026	3522	1390	4492	4047	3127	4395	48480
D6.5	5268	3965	2390	4975	4633	3547	3867	3331	1400	4405	4433	3172	3966	49352
D6.7	5069	4081	2365	4826	4843	3655	4196	3518	1613	4441	4617	2998	4182	50404
D7.157	3425	2434	793	3257	2517	1951	2074	2031	-399	2671	2077	2148	2681	27660
D7.4	3756	2431	1116	3402	2685	2115	2053	2092	-200	2842	2278	2376	2767	29713
D8.8	1728	1964	1089	3139	3387	1732	1824	1483	-887	2868	2259	1739	1824	24149
D8.9	5948	4996	3082	5809	5376	4396	4907	4600	2731	5230	5284	3778	4685	60822
D9.4	2373	872	-449	1851	1276	1245	672	405	-1535	1111	1358	1833	1361	12373
