Chr01	Chr02	Chr03	Chr04	Chr05	Chr06	Chr07	Chr08	Chr09	Chr10	Chr11	Chr12	Chr13	allChr
D1.2	1045	965	759	979	874	854	1041	1068	1156	929	1019	696	876	12261
D1.35	1061	979	758	993	877	865	1054	1078	1161	945	1028	701	887	12387
D10.3	1515	1526	1141	1402	1219	1220	1479	1546	1688	1324	1445	949	1256	17710
D10.7	1487	1506	1138	1394	1222	1220	1479	1538	1686	1322	1455	945	1241	17633
D10.8	1500	1519	1143	1400	1223	1226	1497	1559	1692	1325	1442	944	1250	17720
D11.1	1729	1610	1119	1648	1317	1410	1763	1755	1753	1546	1627	1055	1353	19685
D2.1.6	1283	1273	947	1231	1101	1034	1309	1363	1472	1212	1204	816	1105	15350
D2.2	1525	1532	1139	1413	1246	1258	1448	1533	1687	1327	1508	981	1228	17825
D3D.27	1556	1451	1180	1424	1282	1349	1568	1580	1709	1449	1467	1036	1310	18361
D3K.57	1564	1452	1181	1428	1283	1342	1566	1592	1705	1454	1468	1046	1312	18393
D3K.56	1558	1464	1184	1426	1281	1341	1571	1591	1704	1454	1468	1043	1312	18397
D4.12	1509	1408	1032	1471	1250	1270	1512	1545	1704	1365	1415	910	1266	17657
D4.185	1446	1310	1062	1403	1166	1225	1538	1479	1694	1300	1337	894	1156	17010
D5.6	6	1	14	6	9	9	11	3	3	13	10	6	1	92
D5.8	2	0	2	0	1	1	2	1	1	1	0	6	0	17
D5_2	9	2	7	4	14	5	8	6	6	2	9	6	8	86
D5_31	2	0	2	0	1	1	2	1	1	1	0	4	0	15
D5_ref	2	0	2	0	1	1	2	1	1	1	0	4	0	15
D6.5	1174	1101	843	1099	1005	1013	1181	1208	1299	1062	1137	751	994	13867
D6.7	1139	1083	827	1079	983	969	1160	1194	1276	1022	1108	735	974	13549
D7.157	1304	1165	922	1210	1047	1110	1323	1326	1478	1136	1231	827	1061	15140
D7.4	1269	1151	895	1175	1009	1080	1286	1302	1434	1116	1187	780	1042	14726
D8.8	1269	1215	972	1220	1087	1062	1323	1312	1456	1177	1262	866	1099	15320
D8.9	1048	963	758	979	872	853	1034	1070	1155	931	1019	698	876	12256
D9.4	1396	1332	1028	1342	1175	1193	1425	1433	1564	1300	1323	868	1162	16541
