Chr01	Chr02	Chr03	Chr04	Chr05	Chr06	Chr07	Chr08	Chr09	Chr10	Chr11	Chr12	Chr13	allChr
D1.35	3550	3338	2694	3211	2621	3292	4036	3842	4486	3291	3478	2279	2901	43019
D10.7	3598	3635	2918	3062	2585	3481	3647	3886	4390	3117	3714	2335	2753	43121
D11.1	4311	3893	2827	3775	2847	3632	4569	4467	4509	3913	3866	2612	3131	48352
D2.1.6	2694	2792	2154	2536	2110	2398	2929	3027	3384	2579	2539	1611	2195	32948
D2.2	3577	3640	2909	3051	2667	3379	3539	3767	4393	3104	3702	2358	2653	42739
D3D.27	3948	3551	3152	3527	2933	3824	4428	4206	4920	3557	3741	2532	3278	47597
D3K.57	3951	3558	3143	3531	2934	3828	4410	4227	4937	3561	3756	2547	3283	47666
D4.185	3867	3537	3143	3677	3041	3422	4409	4073	4969	3699	3528	2205	3087	46657
D5.8	2941	2720	2338	2590	2087	2849	3367	3267	3967	2589	2786	1895	2433	35829
D6.5	4910	4639	3820	4265	3765	4445	5292	5182	5804	4460	4827	2969	3969	58347
D7.157	3965	3722	2889	3614	2992	3539	4274	4309	4858	3732	3688	2361	3216	47159
D8.8	3718	3471	2865	3294	2824	3468	4130	4015	4641	3396	3568	2385	3046	44821
D9.4	3129	3032	2490	2889	2483	2915	3562	3472	3902	3018	2910	1839	2625	38266
F1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
