Chr01	Chr02	Chr03	Chr04	Chr05	Chr06	Chr07	Chr08	Chr09	Chr10	Chr11	Chr12	Chr13	allChr
D1.35	-59744	-48813	-42151	-48638	-37063	-58065	-66102	-65401	-77763	-49715	-55509	-32939	-46061	-687964
D10.7	-49034	-44103	-37197	-39985	-32366	-45527	-49735	-52816	-61877	-40194	-50274	-30838	-36391	-570337
D11.1	-54105	-49819	-34811	-46659	-34626	-47709	-56795	-57235	-60479	-49459	-47215	-31608	-38003	-608523
D2.1.6	-34256	-32560	-25014	-31216	-25682	-30358	-38515	-38918	-48202	-31112	-32595	-20029	-25589	-414046
D2.2	-47350	-44837	-36822	-39604	-34176	-45810	-48700	-50507	-62439	-39833	-49403	-32081	-34422	-565984
D3D.27	-59540	-49243	-42683	-49473	-39885	-57901	-64502	-66575	-76586	-50219	-56324	-35171	-45719	-693821
D3K.57	-59048	-49896	-42312	-49567	-39896	-57869	-64648	-66539	-76682	-50538	-56613	-34963	-45570	-694141
D4.185	-47270	-43680	-37639	-45499	-36114	-44611	-54977	-51932	-66194	-47435	-44466	-26833	-37468	-584118
D5.8	-32232	-27907	-21521	-25760	-18671	-29901	-35956	-35492	-45119	-25834	-28783	-17390	-20866	-365432
D6.5	-62867	-57071	-47078	-55373	-43901	-58812	-74262	-71182	-84793	-54313	-59255	-38404	-52433	-759744
D7.157	-48055	-46822	-34996	-45830	-37122	-44450	-52474	-53581	-64421	-46348	-46514	-28335	-37661	-586609
D8.8	-61987	-50589	-42996	-48894	-38765	-59090	-71344	-65547	-79368	-51084	-57380	-33750	-46055	-706849
D9.4	-38442	-37055	-31060	-35925	-30051	-36218	-44606	-43594	-52680	-38079	-36241	-22306	-31098	-477355
F1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
