# BUSCO version is: 2.0 
# The lineage dataset is: embryophyta_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1440)
# To reproduce this run: python /usr/local/igbb/busco_v2/BUSCO.py -i /scratch/thrash/shane.gossypiumD//analysis/assemble/D10-7/D10-7.k115.filtered.fa -o D10-7.k115 -l /scratch/thrash/shane.gossypiumD//analysis/annotation/busco/db/embryophyta_odb9/ -m genome -c 20 --long -t tmp_D10-7.k115 -sp arabidopsis
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG09360002	Complete	SEQ_618392	22658	44679	6889.4	3927
EOG0936000A	Complete	SEQ_614707	34780	53885	6993.0	4204
EOG0936001N	Complete	SEQ_608084	4444	17231	3937.9	2282
EOG0936001W	Complete	SEQ_616445	11090	28532	2297.5	1615
EOG09360025	Complete	SEQ_620854	12281	32015	2948.3	1655
EOG0936003Z	Complete	SEQ_598375	33651	54951	2438.1	1842
EOG0936004R	Complete	SEQ_606754	67320	73788	1257.7	841
EOG0936004W	Complete	SEQ_599694	17386	30741	1912.8	1151
EOG0936008E	Complete	SEQ_618342	926	12991	891.3	620
EOG0936008K	Complete	SEQ_614819	42594	48372	2464.9	1153
EOG09360091	Complete	SEQ_609180	4898	13001	2212.1	1235
EOG0936009W	Complete	SEQ_589018	240	7671	891.1	631
EOG093600CA	Complete	SEQ_580325	4766	8916	2340.8	1144
EOG093600CH	Complete	SEQ_608738	586	13100	2004.5	1146
EOG093600CL	Complete	SEQ_608682	29370	46950	1554.4	1036
EOG093600DF	Complete	SEQ_608698	26240	39597	1479.7	1320
EOG093600DJ	Complete	SEQ_614686	7256	51358	1741.2	1235
EOG093600DL	Complete	SEQ_619171	22333	28111	1824.7	1128
EOG093600EH	Complete	SEQ_622155	72588	81242	1927.6	1088
EOG093600FR	Complete	SEQ_622211	69678	76630	1595.7	1090
EOG093600G6	Complete	SEQ_606993	3326	14435	2227.4	1625
EOG093600GM	Complete	SEQ_593556	16510	21248	2081.4	1193
EOG093600H1	Complete	SEQ_622461	39546	49059	1089.5	933
EOG093600IQ	Complete	SEQ_615798	29573	39026	2048.3	1133
EOG093600K5	Complete	SEQ_583091	37476	57620	1606.2	1005
EOG093600LV	Missing
EOG093600N9	Complete	SEQ_596226	4132	14687	1598.2	981
EOG093600NS	Complete	SEQ_613975	43262	66367	1385.7	858
EOG093600O6	Missing
EOG093600OF	Complete	SEQ_616245	47007	65283	1156.2	693
EOG093600ON	Complete	SEQ_607253	1	7874	1257.5	724
EOG093600OU	Complete	SEQ_604081	20736	41121	1488.3	876
EOG093600P5	Complete	SEQ_620763	21367	27491	881.4	723
EOG093600PE	Duplicated	SEQ_578586	26814	33027	2286.0	1130
EOG093600PE	Duplicated	SEQ_591730	25023	30805	2289.6	1127
EOG093600QB	Duplicated	SEQ_611089	82517	89569	920.2	724
EOG093600QB	Duplicated	SEQ_617939	15545	22748	985.2	815
EOG093600R5	Complete	SEQ_618261	10836	26520	1630.9	913
EOG093600SL	Complete	SEQ_610572	56632	64051	1378.7	803
EOG093600SS	Complete	SEQ_621536	8086	14152	1298.9	856
EOG093600SY	Complete	SEQ_607665	7434	31940	1387.2	780
EOG093600T6	Complete	SEQ_611430	21779	27204	1199.4	839
EOG093600T8	Complete	SEQ_615133	9312	19719	969.0	772
EOG093600TY	Duplicated	SEQ_584852	81546	105866	1349.6	1544
EOG093600TY	Duplicated	SEQ_608380	44838	57636	1495.6	1547
EOG093600TZ	Complete	SEQ_618198	10796	24749	1609.8	888
EOG093600U4	Complete	SEQ_593989	1338	12721	1202.1	674
EOG093600U9	Complete	SEQ_619485	19801	31952	1781.6	1094
EOG093600UX	Complete	SEQ_561892	26518	34660	1323.7	879
EOG093600W2	Complete	SEQ_607646	8225	16361	567.3	457
EOG093600WS	Complete	SEQ_620666	8041	11831	1284.0	809
EOG093600X9	Complete	SEQ_615436	41731	48412	1286.6	875
EOG093600XL	Complete	SEQ_603314	40762	44840	1664.8	975
EOG093600YH	Complete	SEQ_584092	16791	19979	1385.2	895
EOG093600ZL	Duplicated	SEQ_607151	3806	7900	1374.2	804
EOG093600ZL	Duplicated	SEQ_621937	19916	23802	1364.8	800
EOG0936011P	Duplicated	SEQ_617455	11632	31726	1090.6	768
EOG0936011P	Duplicated	SEQ_620669	73316	80277	1228.2	762
EOG0936011U	Complete	SEQ_619358	117554	127678	1084.2	782
EOG0936011V	Complete	SEQ_586411	6246	12811	1675.7	908
EOG09360146	Complete	SEQ_615389	3316	6848	1508.8	839
EOG09360155	Missing
EOG0936015N	Complete	SEQ_618612	44937	49981	1308.3	960
EOG0936017C	Missing
EOG0936017K	Duplicated	SEQ_613814	5256	11429	1069.4	569
EOG0936017K	Duplicated	SEQ_618864	16569	24007	1074.5	574
EOG09360199	Complete	SEQ_609755	19681	22872	1378.3	737
EOG0936019N	Duplicated	SEQ_588929	4670	9201	854.5	668
EOG0936019N	Duplicated	SEQ_612266	22339	26543	803.7	636
EOG0936019N	Duplicated	SEQ_622706	19134	23403	816.2	770
EOG0936019X	Duplicated	SEQ_557800	838	3410	866.3	423
EOG0936019X	Duplicated	SEQ_617223	483	23191	778.9	630
EOG093601AL	Fragmented	SEQ_616562	2813	6814	1365.7	886
EOG093601AN	Complete	SEQ_607469	12956	19720	1046.6	707
EOG093601CE	Complete	SEQ_622146	22505	32564	1045.2	827
EOG093601CM	Complete	SEQ_599894	276	7011	657.9	541
EOG093601CX	Complete	SEQ_606771	21829	27376	1379.3	862
EOG093601DT	Complete	SEQ_610926	6596	17608	1460.9	828
EOG093601FF	Duplicated	SEQ_616798	7701	15461	1635.5	790
EOG093601FF	Duplicated	SEQ_616928	79578	88104	1664.2	790
EOG093601FH	Complete	SEQ_590758	62638	70544	1814.1	1064
EOG093601G4	Complete	SEQ_622853	1203	6291	1281.1	729
EOG093601IB	Complete	SEQ_590491	8170	15551	1047.4	775
EOG093601IL	Complete	SEQ_595259	10226	15754	1695.1	1025
EOG093601IV	Complete	SEQ_611874	385	9765	997.8	526
EOG093601IY	Complete	SEQ_606330	13571	17036	1088.6	740
EOG093601KV	Complete	SEQ_589493	2236	7705	1398.0	794
EOG093601KY	Complete	SEQ_615474	3646	7003	1351.6	759
EOG093601LZ	Complete	SEQ_618681	32750	47523	456.1	361
EOG093601M6	Complete	SEQ_606654	46658	56897	1132.1	773
EOG093601MF	Complete	SEQ_596714	55596	62042	1907.7	1065
EOG093601MT	Duplicated	SEQ_612254	1643	7731	878.8	734
EOG093601MT	Duplicated	SEQ_615053	18952	25531	897.9	741
EOG093601NK	Complete	SEQ_621014	29122	36641	1409.2	815
EOG093601NU	Complete	SEQ_603914	98651	104451	1444.1	942
EOG093601OK	Complete	SEQ_616874	77772	81023	1344.5	742
EOG093601PF	Duplicated	SEQ_619062	39836	44834	1644.6	828
EOG093601PF	Duplicated	SEQ_622633	29255	34539	1633.6	836
EOG093601PJ	Complete	SEQ_614225	4036	9766	1606.1	852
EOG093601PV	Complete	SEQ_616607	5965	11561	1531.4	875
EOG093601Q7	Duplicated	SEQ_611888	2034	6028	621.1	619
EOG093601Q7	Duplicated	SEQ_613977	63634	69003	631.3	651
EOG093601QL	Complete	SEQ_614737	1	6994	1056.2	700
EOG093601SL	Complete	SEQ_586802	20	21727	1183.0	743
EOG093601SQ	Complete	SEQ_583091	59196	66957	1327.4	765
EOG093601T9	Complete	SEQ_617801	7846	16454	1125.7	587
EOG093601TO	Complete	SEQ_621031	10700	16601	1408.5	718
EOG093601TR	Complete	SEQ_606468	20276	30526	893.8	850
EOG093601U2	Complete	SEQ_583627	13236	17060	1114.5	764
EOG093601UA	Complete	SEQ_607648	6789	13651	1200.0	686
EOG093601UC	Complete	SEQ_597190	1206	7898	1341.8	707
EOG093601V0	Duplicated	SEQ_594362	36707	49160	1176.1	735
EOG093601V0	Duplicated	SEQ_622782	56566	65861	1012.9	720
EOG093601VD	Complete	SEQ_615751	11452	19181	1304.9	761
EOG093601WC	Complete	SEQ_607428	12869	25621	1011.8	679
EOG093601XR	Complete	SEQ_581915	14765	19358	804.0	509
